elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,4198.7,0,5106
0,backend-2,0.00,4512.9,0,4616
0,backend-3,0.00,2674.8,0,5555
5,backend-1,0.00,1129.7,33,5226
5,backend-2,97.67,2914.4,0,4685
5,backend-3,0.00,212.1,17,5636
10,backend-1,50.00,728.7,23,5282
10,backend-2,0.00,2003.0,20,4708
10,backend-3,98.81,3058.0,1,5723
15,backend-1,50.00,797.7,7,5332
15,backend-2,100.00,2488.8,13,4778
15,backend-3,0.00,230.3,23,5757
20,backend-1,48.72,1374.2,18,5413
20,backend-2,0.00,1485.6,18,4803
20,backend-3,98.84,1658.9,2,5820
25,backend-1,0.00,979.8,10,5434
25,backend-2,0.00,2190.3,29,4882
25,backend-3,70.00,135.8,11,5845
30,backend-1,0.00,1913.0,50,5546
30,backend-2,0.00,3527.0,0,4882
30,backend-3,1.23,2520.7,0,5891
35,backend-1,51.16,5689.5,7,5601
35,backend-2,0.00,3527.0,0,4882
35,backend-3,98.81,741.3,40,5957
40,backend-1,0.00,3941.9,0,5601
40,backend-2,0.00,3527.0,0,4882
40,backend-3,98.86,3062.3,47,6052
45,backend-1,0.00,3941.9,0,5601
45,backend-2,100.00,646.7,35,4944
45,backend-3,98.78,2953.1,0,6099
50,backend-1,0.00,3941.9,0,5601
50,backend-2,100.00,3214.2,21,5003
50,backend-3,98.81,262.0,27,6143
55,backend-1,0.00,3941.9,0,5601
55,backend-2,0.00,4398.2,0,5003
55,backend-3,98.09,2139.2,48,6268
60,backend-1,2.50,3941.9,0,5601
60,backend-2,0.00,4398.2,0,5003
60,backend-3,98.80,3126.7,49,6354
66,backend-1,50.00,1928.2,39,5723
66,backend-2,0.00,4398.2,0,5003
66,backend-3,0.00,3216.6,0,6361
71,backend-1,48.84,3729.6,30,5795
71,backend-2,0.00,4398.2,0,5003
71,backend-3,0.00,214.8,17,6393
76,backend-1,0.00,3618.3,0,5795
76,backend-2,0.00,4398.2,0,5003
76,backend-3,98.18,2171.8,46,6511
81,backend-1,0.00,3618.3,0,5795
81,backend-2,0.00,4398.2,0,5003
81,backend-3,98.77,2421.9,46,6595
86,backend-1,50.00,2040.0,33,5924
86,backend-2,0.00,4398.2,0,5003
86,backend-3,0.00,3423.1,0,6609
91,backend-1,51.11,2734.7,20,5972
91,backend-2,0.00,4398.2,0,5003
91,backend-3,97.59,937.2,-3,6641
