elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,4608.7,0,1902
0,backend-2,2.44,5243.8,0,1512
0,backend-3,0.00,3247.3,0,2627
5,backend-1,50.00,852.9,15,2006
5,backend-2,100.00,998.2,15,1603
5,backend-3,97.59,1035.3,14,2725
10,backend-1,48.84,1010.6,15,2087
10,backend-2,100.00,1192.0,15,1685
10,backend-3,98.85,404.5,15,2819
15,backend-1,51.16,1116.1,15,2173
15,backend-2,100.00,1645.1,14,1761
15,backend-3,99.15,1032.6,14,2924
20,backend-1,48.78,927.4,15,2258
20,backend-2,100.00,1126.4,14,1830
20,backend-3,98.78,930.6,14,2998
25,backend-1,50.00,1352.0,15,2347
25,backend-2,100.00,821.5,14,1920
25,backend-3,100.00,728.2,14,3094
30,backend-1,50.00,1397.6,14,2438
30,backend-2,100.00,1480.6,14,1991
30,backend-3,98.75,1066.1,13,3178
35,backend-1,50.00,1430.9,14,2523
35,backend-2,100.00,699.6,13,2077
35,backend-3,98.77,657.1,13,3270
41,backend-1,50.00,1564.1,15,2600
41,backend-2,100.00,963.6,14,2165
41,backend-3,99.31,688.4,14,3368
46,backend-1,50.00,902.4,13,2696
46,backend-2,100.00,1250.4,13,2229
46,backend-3,99.35,986.9,13,3457
51,backend-1,50.00,893.0,14,2792
51,backend-2,100.00,1352.7,14,2301
51,backend-3,98.77,751.7,14,3548
56,backend-1,48.84,820.4,14,2894
56,backend-2,100.00,796.5,14,2386
56,backend-3,98.86,1084.5,14,3630
61,backend-1,50.00,1080.0,15,2988
61,backend-2,97.62,989.4,14,2455
61,backend-3,98.82,760.6,14,3700
66,backend-1,50.00,1551.2,15,3065
66,backend-2,100.00,1163.7,15,2527
66,backend-3,98.84,875.1,15,3794
71,backend-1,50.00,1081.8,14,3154
71,backend-2,100.00,861.1,13,2602
71,backend-3,100.00,589.7,13,3884
76,backend-1,50.00,1109.6,14,3245
76,backend-2,100.00,617.2,14,2694
76,backend-3,100.00,767.7,14,3976
81,backend-1,50.00,1107.0,15,3322
81,backend-2,100.00,1178.9,14,2779
81,backend-3,100.00,974.3,14,4068
86,backend-1,51.22,781.4,14,3430
86,backend-2,100.00,1050.7,13,2852
86,backend-3,100.00,895.7,13,4161
91,backend-1,50.00,2073.5,3,3488
91,backend-2,97.62,1207.4,-2,2927
91,backend-3,100.00,976.1,-1,4238
