elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,2.44,371.8,0,1381
0,backend-2,0.00,3448.0,0,1380
0,backend-3,0.00,155.6,0,1380
5,backend-1,0.00,1794.6,50,1497
5,backend-2,0.00,3448.0,0,1380
5,backend-3,98.73,2806.2,0,1433
10,backend-1,50.00,3548.0,7,1552
10,backend-2,0.00,3448.0,0,1380
10,backend-3,0.00,608.0,35,1488
15,backend-1,48.78,3916.8,0,1552
15,backend-2,7.50,3448.0,0,1380
15,backend-3,98.82,3015.7,49,1588
20,backend-1,0.00,3916.8,0,1552
20,backend-2,0.00,1366.2,50,1458
20,backend-3,97.59,2724.8,-2,1632
25,backend-1,0.00,3916.8,0,1552
25,backend-2,100.00,3296.4,22,1512
25,backend-3,0.00,196.9,20,1670
30,backend-1,0.00,3916.8,0,1552
30,backend-2,100.00,5243.8,0,1512
30,backend-3,98.57,1990.7,45,1790
35,backend-1,0.00,3916.8,0,1552
35,backend-2,0.00,5243.8,0,1512
35,backend-3,98.73,1842.5,49,1880
40,backend-1,0.00,1785.7,50,1660
40,backend-2,0.00,5243.8,0,1512
40,backend-3,98.82,3027.9,-2,1906
45,backend-1,48.84,2732.0,27,1729
45,backend-2,2.44,5243.8,0,1512
45,backend-3,0.00,311.0,12,1934
50,backend-1,50.00,3841.1,0,1729
50,backend-2,0.00,5243.8,0,1512
50,backend-3,98.75,2886.2,45,2055
55,backend-1,0.00,2169.2,4,1737
55,backend-2,0.00,5243.8,0,1512
55,backend-3,98.78,2958.7,43,2132
60,backend-1,50.00,2067.8,47,1862
60,backend-2,2.44,5243.8,0,1512
60,backend-3,100.00,3629.0,0,2132
65,backend-1,50.00,5511.7,-4,1902
65,backend-2,0.00,5243.8,0,1512
65,backend-3,100.00,731.3,38,2201
70,backend-1,0.00,4608.7,0,1902
70,backend-2,5.13,5243.8,0,1512
70,backend-3,100.00,2475.2,46,2293
75,backend-1,0.00,4608.7,0,1902
75,backend-2,0.00,5243.8,0,1512
75,backend-3,98.75,2555.6,44,2377
81,backend-1,0.00,4608.7,0,1902
81,backend-2,0.00,5243.8,0,1512
81,backend-3,97.59,1686.5,48,2465
86,backend-1,0.00,4608.7,0,1902
86,backend-2,0.00,5243.8,0,1512
86,backend-3,100.00,2900.6,43,2564
91,backend-1,0.00,4608.7,0,1902
91,backend-2,0.00,5243.8,0,1512
91,backend-3,98.82,3505.9,22,2627
