elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,100.0,0,1
0,backend-2,0.00,0.0,0,0
0,backend-3,0.00,0.0,0,0
5,backend-1,50.00,1072.4,13,102
5,backend-2,100.00,1863.9,22,100
5,backend-3,51.85,338.5,5,100
10,backend-1,50.00,350.4,2,184
10,backend-2,100.00,2461.1,36,183
10,backend-3,100.00,302.7,4,182
15,backend-1,50.00,86.6,0,256
15,backend-2,97.67,4124.7,43,255
15,backend-3,76.25,77.5,2,255
20,backend-1,30.00,99.2,2,330
20,backend-2,99.53,3752.7,39,329
20,backend-3,15.00,89.6,2,329
26,backend-1,48.72,162.1,4,400
26,backend-2,100.00,3588.4,35,398
26,backend-3,38.75,93.3,2,398
31,backend-1,40.48,277.9,3,476
31,backend-2,100.00,2873.6,39,474
31,backend-3,98.75,73.8,0,474
36,backend-1,50.00,141.1,1,548
36,backend-2,97.67,2591.2,42,546
36,backend-3,96.34,72.3,0,546
41,backend-1,40.00,262.2,2,616
41,backend-2,100.00,3453.1,41,615
41,backend-3,83.13,424.9,2,614
46,backend-1,51.22,543.3,6,695
46,backend-2,100.00,2391.9,34,694
46,backend-3,75.61,137.2,2,694
51,backend-1,50.00,432.9,5,775
51,backend-2,100.00,2937.5,38,773
51,backend-3,98.80,82.1,1,773
56,backend-1,51.16,177.7,0,853
56,backend-2,100.00,2452.2,41,852
56,backend-3,96.34,302.7,0,851
61,backend-1,50.00,126.1,1,929
61,backend-2,100.00,2493.0,41,927
61,backend-3,50.60,111.8,0,927
66,backend-1,30.00,344.6,8,1000
66,backend-2,100.00,2174.4,37,999
66,backend-3,83.33,190.7,3,998
71,backend-1,51.22,160.8,7,1074
71,backend-2,99.27,3198.3,37,1073
71,backend-3,98.78,95.3,1,1072
76,backend-1,46.34,555.4,8,1156
76,backend-2,100.00,2363.4,33,1155
76,backend-3,98.91,130.7,2,1154
81,backend-1,48.84,131.2,0,1242
81,backend-2,100.00,2785.3,42,1241
81,backend-3,98.78,101.6,1,1241
86,backend-1,31.82,217.2,5,1321
86,backend-2,100.00,4071.2,38,1319
86,backend-3,67.09,466.6,3,1319
91,backend-1,31.82,371.8,0,1381
91,backend-2,100.00,2853.9,18,1380
91,backend-3,100.00,155.6,-1,1380
