elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,1930.6,0,2370
0,backend-2,0.00,2113.7,0,1743
0,backend-3,0.00,1734.7,0,2241
5,backend-1,50.00,1419.1,-1,2412
5,backend-2,0.00,1149.5,7,1756
5,backend-3,7.59,999.1,11,2278
10,backend-1,0.00,781.5,7,2423
10,backend-2,0.00,2370.8,0,1777
10,backend-3,98.78,1214.0,11,2310
15,backend-1,50.00,929.3,8,2466
15,backend-2,100.00,854.6,1,1793
15,backend-3,98.78,685.8,8,2340
20,backend-1,51.16,804.3,17,2517
20,backend-2,100.00,644.4,3,1820
20,backend-3,98.80,866.5,0,2358
25,backend-1,51.22,1056.1,0,2544
25,backend-2,100.00,1043.7,0,1850
25,backend-3,0.00,671.7,20,2402
30,backend-1,0.00,2038.9,0,2564
30,backend-2,0.00,848.4,19,1872
30,backend-3,75.95,1421.5,1,2447
35,backend-1,50.00,1957.3,3,2588
35,backend-2,0.00,2278.0,0,1881
35,backend-3,0.00,214.1,17,2474
40,backend-1,0.00,1654.8,20,2610
40,backend-2,0.00,2278.0,0,1881
40,backend-3,98.81,1274.0,-3,2512
45,backend-1,50.00,752.6,20,2653
45,backend-2,97.67,1163.8,-2,1903
45,backend-3,98.78,488.6,0,2538
50,backend-1,50.00,1027.4,5,2692
50,backend-2,100.00,699.4,5,1927
50,backend-3,97.59,539.9,5,2590
55,backend-1,51.22,870.4,8,2735
55,backend-2,100.00,713.2,8,1966
55,backend-3,98.78,828.2,3,2636
60,backend-1,50.00,898.9,7,2777
60,backend-2,100.00,755.3,5,1993
60,backend-3,98.77,516.2,8,2688
65,backend-1,48.78,1332.0,0,2807
65,backend-2,0.00,1008.1,15,2023
65,backend-3,100.00,471.9,5,2733
70,backend-1,0.00,780.8,20,2849
70,backend-2,100.00,1545.6,-2,2052
70,backend-3,98.82,430.6,0,2769
75,backend-1,50.00,1375.1,-4,2876
75,backend-2,0.00,980.5,16,2074
75,backend-3,98.77,345.9,4,2812
80,backend-1,48.78,990.1,10,2907
80,backend-2,100.00,567.9,9,2106
80,backend-3,98.84,927.1,0,2854
85,backend-1,51.22,767.2,7,2946
85,backend-2,0.00,1011.6,7,2126
85,backend-3,100.00,586.9,6,2904
90,backend-1,50.00,815.2,18,2991
90,backend-2,100.00,1005.5,-1,2153
90,backend-3,100.00,799.6,0,2936
