elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,1673.5,7,1118
0,backend-2,0.00,2083.9,7,721
0,backend-3,0.00,686.4,6,1381
5,backend-1,50.00,806.9,7,1155
5,backend-2,100.00,950.9,7,754
5,backend-3,97.59,690.0,6,1424
10,backend-1,50.00,821.9,7,1200
10,backend-2,100.00,900.4,6,794
10,backend-3,100.00,680.4,6,1466
15,backend-1,51.22,937.3,7,1242
15,backend-2,100.00,779.5,6,830
15,backend-3,100.00,653.6,6,1512
20,backend-1,48.78,835.6,6,1284
20,backend-2,100.00,759.3,6,869
20,backend-3,100.00,763.6,6,1558
25,backend-1,50.00,941.8,6,1330
25,backend-2,100.00,790.2,6,908
25,backend-3,100.00,541.4,5,1612
31,backend-1,50.00,814.8,7,1373
31,backend-2,100.00,805.0,6,944
31,backend-3,98.78,768.6,6,1660
36,backend-1,50.00,810.6,7,1415
36,backend-2,100.00,931.1,7,985
36,backend-3,98.86,705.0,6,1704
41,backend-1,50.00,1061.8,6,1460
41,backend-2,100.00,742.3,6,1022
41,backend-3,100.00,587.0,5,1747
46,backend-1,48.84,840.5,7,1502
46,backend-2,100.00,818.7,6,1059
46,backend-3,100.00,763.7,6,1794
51,backend-1,50.00,803.4,7,1544
51,backend-2,100.00,806.8,6,1098
51,backend-3,98.80,786.7,6,1838
56,backend-1,50.00,821.1,7,1587
56,backend-2,100.00,784.9,6,1136
56,backend-3,100.00,797.5,6,1882
61,backend-1,50.00,789.2,6,1636
61,backend-2,100.00,935.7,5,1173
61,backend-3,100.00,674.8,5,1926
66,backend-1,50.00,1154.0,7,1676
66,backend-2,100.00,676.0,5,1211
66,backend-3,100.00,505.3,4,1974
71,backend-1,50.00,920.8,6,1721
71,backend-2,100.00,654.7,6,1249
71,backend-3,98.75,721.9,6,2018
76,backend-1,50.00,876.4,6,1764
76,backend-2,100.00,675.0,6,1287
76,backend-3,100.00,805.3,6,2063
81,backend-1,50.00,857.4,7,1806
81,backend-2,100.00,791.8,6,1327
81,backend-3,100.00,858.6,6,2108
86,backend-1,48.78,783.7,6,1849
86,backend-2,100.00,799.4,6,1364
86,backend-3,98.86,797.4,6,2151
