elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,626.7,0,1887
0,backend-2,0.00,707.3,0,1397
0,backend-3,0.00,792.2,0,2188
5,backend-1,0.00,2378.4,20,1946
5,backend-2,0.00,707.3,0,1397
5,backend-3,0.00,792.2,0,2188
10,backend-1,0.00,2028.7,2,1948
10,backend-2,100.00,2720.0,16,1444
10,backend-3,0.00,792.2,0,2188
15,backend-1,0.00,2477.7,20,1996
15,backend-2,0.00,2179.3,0,1444
15,backend-3,1.23,792.2,0,2188
20,backend-1,0.00,2070.0,1,1998
20,backend-2,100.00,2776.3,19,1485
20,backend-3,1.23,792.2,0,2188
25,backend-1,0.00,2247.6,20,2051
25,backend-2,0.00,2144.3,0,1485
25,backend-3,0.00,792.2,0,2188
30,backend-1,2.44,1509.7,0,2052
30,backend-2,0.00,1731.2,3,1490
30,backend-3,98.77,1988.5,17,2241
35,backend-1,0.00,1223.7,1,2055
35,backend-2,100.00,2799.1,19,1532
35,backend-3,0.00,1734.7,0,2241
40,backend-1,50.00,2309.8,17,2105
40,backend-2,0.00,2023.3,0,1532
40,backend-3,0.00,1734.7,0,2241
45,backend-1,0.00,1623.2,7,2113
45,backend-2,100.00,2785.6,13,1573
45,backend-3,0.00,1734.7,0,2241
50,backend-1,50.00,2360.3,14,2161
50,backend-2,0.00,2122.4,3,1576
50,backend-3,0.00,1734.7,0,2241
55,backend-1,0.00,1461.1,8,2170
55,backend-2,100.00,2700.2,11,1614
55,backend-3,0.00,1734.7,0,2241
60,backend-1,50.00,2447.3,12,2212
60,backend-2,0.00,2206.7,2,1616
60,backend-3,0.00,1734.7,0,2241
65,backend-1,0.00,1333.9,8,2222
65,backend-2,97.56,2438.4,10,1658
65,backend-3,0.00,1734.7,0,2241
70,backend-1,50.00,2264.8,12,2267
70,backend-2,0.00,1855.3,4,1662
70,backend-3,1.23,1734.7,0,2241
75,backend-1,0.00,1248.3,6,2276
75,backend-2,100.00,2875.8,14,1700
75,backend-3,0.00,1734.7,0,2241
80,backend-1,50.00,2209.3,13,2320
80,backend-2,0.00,1826.5,3,1704
80,backend-3,0.00,1734.7,0,2241
85,backend-1,0.00,1027.0,5,2329
85,backend-2,100.00,2713.1,15,1743
85,backend-3,0.00,1734.7,0,2241
90,backend-1,50.00,2194.4,3,2370
90,backend-2,0.00,2113.7,0,1743
90,backend-3,0.00,1734.7,0,2241
