elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,305.8,0,685
0,backend-2,0.00,1571.0,0,683
0,backend-3,0.00,166.0,16,699
5,backend-1,0.00,1634.9,0,713
5,backend-2,0.00,1571.0,0,683
5,backend-3,98.80,1574.2,20,724
10,backend-1,0.00,782.0,13,730
10,backend-2,0.00,2730.1,7,714
10,backend-3,100.00,1706.3,0,731
15,backend-1,50.00,1741.4,1,749
15,backend-2,2.50,2083.9,0,714
15,backend-3,1.23,1804.9,18,773
20,backend-1,50.00,1774.2,-10,777
20,backend-2,2.50,2083.9,0,714
20,backend-3,92.50,1535.0,19,806
25,backend-1,50.00,1644.3,10,807
25,backend-2,4.88,2083.9,0,714
25,backend-3,98.77,2016.0,7,847
30,backend-1,52.50,1662.6,5,819
30,backend-2,0.00,2083.9,0,714
30,backend-3,70.00,1925.0,14,900
35,backend-1,50.00,1236.0,20,850
35,backend-2,2.44,2083.9,0,714
35,backend-3,100.00,1700.8,-1,936
40,backend-1,51.28,1331.2,17,878
40,backend-2,0.00,2083.9,0,714
40,backend-3,0.00,1391.0,0,976
45,backend-1,50.00,1724.3,2,887
45,backend-2,0.00,2083.9,0,714
45,backend-3,0.00,1899.0,18,1018
50,backend-1,50.00,1839.7,0,912
50,backend-2,0.00,2083.9,0,714
50,backend-3,100.00,1479.2,20,1071
55,backend-1,2.56,2104.6,-1,933
55,backend-2,0.00,2083.9,0,714
55,backend-3,99.52,1516.1,20,1124
60,backend-1,0.00,998.4,20,970
60,backend-2,0.00,2083.9,0,714
60,backend-3,100.00,1294.3,-2,1158
65,backend-1,50.00,848.5,18,999
65,backend-2,0.00,2083.9,0,714
65,backend-3,0.00,1615.8,0,1193
70,backend-1,50.00,1787.0,-1,1006
70,backend-2,0.00,2083.9,0,714
70,backend-3,10.00,1736.0,20,1229
75,backend-1,0.00,1859.0,0,1037
75,backend-2,0.00,2083.9,0,714
75,backend-3,98.86,1087.6,18,1256
80,backend-1,0.00,1816.3,0,1058
80,backend-2,0.00,2083.9,0,714
80,backend-3,98.96,566.6,18,1314
85,backend-1,2.44,2461.8,9,1092
85,backend-2,0.00,2083.9,0,714
85,backend-3,98.78,1197.2,10,1337
