elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,2.44,100.0,7,8
0,backend-2,0.00,0.0,6,6
0,backend-3,0.00,0.0,6,6
6,backend-1,50.00,890.7,4,44
6,backend-2,100.00,1631.3,13,43
6,backend-3,56.82,133.9,1,43
11,backend-1,50.00,256.4,2,84
11,backend-2,100.00,2234.8,14,83
11,backend-3,66.25,141.7,0,82
16,backend-1,39.53,253.5,2,121
16,backend-2,100.00,2501.0,16,120
16,backend-3,41.98,133.4,0,120
21,backend-1,37.50,348.6,3,160
21,backend-2,100.00,1921.3,15,159
21,backend-3,50.00,152.5,1,158
26,backend-1,50.00,240.3,0,197
26,backend-2,100.00,2210.1,16,196
26,backend-3,66.67,148.6,1,196
31,backend-1,50.00,226.1,0,235
31,backend-2,97.67,2451.0,16,234
31,backend-3,58.97,158.4,2,234
36,backend-1,46.51,187.6,1,272
36,backend-2,100.00,2368.5,16,271
36,backend-3,90.12,136.7,0,271
41,backend-1,41.86,293.3,4,311
41,backend-2,100.00,2155.1,13,309
41,backend-3,43.75,145.9,0,309
46,backend-1,50.00,301.4,3,348
46,backend-2,100.00,2109.2,15,347
46,backend-3,72.50,131.2,1,347
51,backend-1,36.59,248.8,1,386
51,backend-2,100.00,2381.8,17,385
51,backend-3,75.58,122.5,1,385
56,backend-1,45.00,254.5,3,426
56,backend-2,100.00,2096.3,16,424
56,backend-3,45.35,135.2,1,424
61,backend-1,50.00,279.5,2,462
61,backend-2,100.00,2323.9,14,460
61,backend-3,73.26,123.1,1,460
66,backend-1,48.78,199.4,2,498
66,backend-2,100.00,2443.1,15,496
66,backend-3,64.20,119.2,1,496
71,backend-1,48.78,218.0,0,537
71,backend-2,100.00,2021.0,18,535
71,backend-3,57.50,133.9,0,535
76,backend-1,50.00,290.7,1,574
76,backend-2,100.00,2369.4,17,573
76,backend-3,95.12,151.7,0,573
81,backend-1,50.00,291.0,1,614
81,backend-2,100.00,2236.3,16,613
81,backend-3,84.62,131.5,1,613
86,backend-1,48.72,328.0,4,652
86,backend-2,100.00,2074.8,16,651
86,backend-3,56.63,124.0,1,650
91,backend-1,50.00,305.8,0,685
91,backend-2,100.00,1927.7,8,683
91,backend-3,83.54,166.0,0,683
