elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,2234.8,0,9060
0,backend-2,0.00,2637.3,0,6057
0,backend-3,0.00,5094.5,0,8401
6,backend-1,50.00,3446.5,48,9312
6,backend-2,100.00,629.3,-12,6182
6,backend-3,0.00,195.9,22,8435
11,backend-1,50.00,5142.9,0,9312
11,backend-2,0.00,1625.9,200,6398
11,backend-3,100.00,1245.5,-17,8570
16,backend-1,0.00,1432.1,112,9478
16,backend-2,100.00,6109.6,72,6407
16,backend-3,97.53,164.0,-1,8598
21,backend-1,50.00,5059.1,136,9600
21,backend-2,0.00,6921.0,0,6407
21,backend-3,0.00,1083.1,41,8711
26,backend-1,5.00,2451.8,4,9610
26,backend-2,0.00,6921.0,0,6407
26,backend-3,99.57,3703.3,185,8921
31,backend-1,50.00,2843.5,96,9876
31,backend-2,0.00,6921.0,0,6407
31,backend-3,100.00,5499.3,-1,8921
36,backend-1,50.00,7118.5,-49,9902
36,backend-2,0.00,6921.0,0,6407
36,backend-3,0.00,1763.4,145,9109
41,backend-1,0.00,1127.7,79,10038
41,backend-2,0.00,6921.0,0,6407
41,backend-3,100.00,5544.4,112,9191
46,backend-1,0.00,4423.9,185,10203
46,backend-2,0.00,141.1,8,6425
46,backend-3,0.00,1014.1,7,9206
51,backend-1,50.00,1231.8,48,10294
51,backend-2,100.00,850.2,-7,6517
51,backend-3,100.00,2564.6,133,9408
56,backend-1,50.00,4171.4,113,10462
56,backend-2,0.00,1541.8,66,6641
56,backend-3,25.93,4110.2,0,9408
61,backend-1,7.50,5423.3,0,10462
61,backend-2,99.12,4234.5,64,6788
61,backend-3,0.00,1314.8,62,9563
66,backend-1,0.00,2737.5,200,10711
66,backend-2,100.00,5879.5,0,6788
66,backend-3,100.00,3631.9,-47,9683
71,backend-1,50.00,5593.1,33,10742
71,backend-2,0.00,5879.5,0,6788
71,backend-3,0.00,1210.2,86,9837
76,backend-1,0.00,1020.3,84,10877
76,backend-2,0.00,5879.5,0,6788
76,backend-3,100.00,4758.5,90,9973
81,backend-1,0.00,4924.0,181,11046
81,backend-2,0.00,154.4,19,6819
81,backend-3,0.00,96.1,0,9990
86,backend-1,46.34,1287.6,63,11161
86,backend-2,100.00,790.4,-10,6899
86,backend-3,98.81,3057.0,121,10202
91,backend-1,48.84,4374.4,53,11274
91,backend-2,0.00,2682.8,77,7025
91,backend-3,100.00,4737.6,-5,10202
