elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,1911.8,0,7089
0,backend-2,2.44,1972.7,0,4673
0,backend-3,0.00,1688.5,0,7361
5,backend-1,50.00,4866.7,70,7296
5,backend-2,0.00,201.7,27,4737
5,backend-3,0.00,1688.5,0,7361
10,backend-1,46.15,6947.9,0,7296
10,backend-2,97.67,2109.8,-11,4786
10,backend-3,0.00,2675.5,200,7606
15,backend-1,2.50,6947.9,0,7296
15,backend-2,0.00,2340.0,200,5038
15,backend-3,100.00,6281.6,-6,7608
20,backend-1,0.00,1481.8,104,7476
20,backend-2,100.00,6554.3,75,5042
20,backend-3,0.00,6281.6,0,7608
25,backend-1,50.00,4734.4,88,7619
25,backend-2,72.50,7008.4,0,5042
25,backend-3,0.00,514.1,35,7691
30,backend-1,50.00,5472.4,0,7619
30,backend-2,0.00,3183.9,200,5273
30,backend-3,46.91,1241.8,0,7728
35,backend-1,0.00,1965.4,200,7906
35,backend-2,100.00,7893.3,-18,5276
35,backend-3,1.23,1241.8,0,7728
40,backend-1,0.00,5610.5,146,7948
40,backend-2,0.00,574.8,54,5349
40,backend-3,0.00,1241.8,0,7728
45,backend-1,50.00,1160.4,-23,7982
45,backend-2,100.00,3769.5,34,5476
45,backend-3,0.00,1769.2,107,7871
50,backend-1,0.00,3602.1,200,8254
50,backend-2,97.96,4920.2,-4,5476
50,backend-3,98.78,3280.7,-17,7910
55,backend-1,0.00,6866.3,129,8319
55,backend-2,2.44,4920.2,0,5476
55,backend-3,0.00,1023.8,71,8014
60,backend-1,50.00,1876.4,-21,8340
60,backend-2,2.44,3156.5,200,5704
60,backend-3,98.80,1766.4,-19,8036
65,backend-1,0.00,2176.7,200,8614
65,backend-2,100.00,7248.9,-5,5709
65,backend-3,0.00,1766.4,0,8036
70,backend-1,0.00,5934.6,149,8661
70,backend-2,2.50,7248.9,0,5709
70,backend-3,0.00,793.9,51,8137
75,backend-1,50.00,4736.6,0,8661
75,backend-2,0.00,2965.0,200,5944
75,backend-3,100.00,1271.3,-3,8147
80,backend-1,0.00,1680.7,200,8950
80,backend-2,100.00,7600.3,-18,5944
80,backend-3,0.00,1271.3,0,8147
85,backend-1,0.00,5726.1,127,8993
85,backend-2,0.00,1052.3,73,6040
85,backend-3,0.00,1271.3,0,8147
91,backend-1,51.16,2234.8,-57,9060
91,backend-2,100.00,2637.3,-31,6057
91,backend-3,0.00,2690.5,178,8401
