elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,301.0,0,49067
0,backend-2,0.00,266.5,0,81052
0,backend-3,0.00,291.0,0,29360
5,backend-1,2.56,303.9,0,49117
5,backend-2,0.00,269.6,91,82738
5,backend-3,0.00,291.7,9,29524
10,backend-1,0.00,300.9,91,50528
10,backend-2,5.00,267.4,-13,82957
10,backend-3,1.23,292.5,0,29591
15,backend-1,0.00,301.0,22,51551
15,backend-2,0.00,265.8,44,83699
15,backend-3,1.23,292.5,0,29591
20,backend-1,0.00,300.2,35,52346
20,backend-2,0.00,266.3,53,84700
20,backend-3,0.00,292.5,0,29591
25,backend-1,0.00,300.4,31,53933
25,backend-2,0.00,266.2,31,84746
25,backend-3,0.00,291.4,31,29636
30,backend-1,0.00,300.4,49,54731
30,backend-2,0.00,266.0,27,85241
30,backend-3,0.00,291.0,24,30067
35,backend-1,0.00,300.3,30,55298
35,backend-2,2.50,265.9,30,85885
35,backend-3,1.23,292.2,29,30645
40,backend-1,0.00,300.6,31,55886
40,backend-2,0.00,265.8,31,86562
40,backend-3,0.00,296.6,31,31149
45,backend-1,2.50,300.6,28,56402
45,backend-2,5.00,265.9,29,87165
45,backend-3,1.25,291.2,28,31770
50,backend-1,4.76,300.8,24,56937
50,backend-2,0.00,265.9,24,87704
50,backend-3,2.50,290.2,23,32455
55,backend-1,0.00,301.0,11,57459
55,backend-2,4.88,265.7,80,88284
55,backend-3,1.27,291.1,0,33107
60,backend-1,2.44,301.4,17,57877
60,backend-2,5.13,267.5,83,89690
60,backend-3,0.00,291.1,0,33107
65,backend-1,0.00,301.2,8,58234
65,backend-2,2.50,266.2,83,91203
65,backend-3,0.00,291.1,0,33107
70,backend-1,0.00,301.1,28,58469
70,backend-2,2.56,265.9,72,92820
70,backend-3,0.00,291.1,0,33107
75,backend-1,0.00,300.5,-6,58888
75,backend-2,2.56,265.4,100,94249
75,backend-3,0.00,291.1,0,33107
80,backend-1,0.00,302.3,16,59104
80,backend-2,2.63,265.7,74,95853
80,backend-3,0.00,291.1,0,33107
86,backend-1,0.00,300.7,32,59445
86,backend-2,2.56,265.7,33,97289
86,backend-3,1.23,292.5,32,33203
