elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,300.8,0,36647
0,backend-2,0.00,266.0,0,65965
0,backend-3,0.00,290.0,0,25179
5,backend-1,0.00,300.1,45,38100
5,backend-2,2.50,267.0,-31,66249
5,backend-3,0.00,294.9,-10,25209
11,backend-1,0.00,301.2,17,38939
11,backend-2,0.00,266.3,78,67123
11,backend-3,0.00,290.2,4,25246
16,backend-1,0.00,300.7,49,39737
16,backend-2,0.00,266.4,50,68089
16,backend-3,1.25,327.2,-11,25277
21,backend-1,2.50,301.4,25,40327
21,backend-2,2.50,265.9,26,68613
21,backend-3,1.23,293.6,35,25933
26,backend-1,0.00,300.7,100,41430
26,backend-2,2.50,269.9,0,68757
26,backend-3,1.25,298.5,-3,26385
31,backend-1,2.56,302.0,-3,41511
31,backend-2,0.00,265.8,72,69940
31,backend-3,0.00,291.6,28,26929
36,backend-1,0.00,301.8,22,42158
36,backend-2,0.00,266.9,70,71055
36,backend-3,1.25,291.5,0,26966
41,backend-1,2.50,300.6,11,42469
41,backend-2,2.56,265.8,21,71705
41,backend-3,0.00,288.6,68,27778
46,backend-1,0.00,310.6,24,43083
46,backend-2,0.00,265.8,76,72892
46,backend-3,1.25,293.5,-12,27792
51,backend-1,2.44,309.8,24,43876
51,backend-2,0.00,276.2,20,73274
51,backend-3,0.00,297.3,37,28350
56,backend-1,2.44,301.1,11,44018
56,backend-2,2.56,265.2,64,74899
56,backend-3,0.00,291.4,15,28439
61,backend-1,0.00,300.5,26,44524
61,backend-2,0.00,266.0,29,75476
61,backend-3,0.00,290.6,32,29113
66,backend-1,0.00,300.6,33,45324
66,backend-2,0.00,266.0,45,76447
66,backend-3,0.00,291.2,0,29125
71,backend-1,2.44,302.6,0,45978
71,backend-2,0.00,269.3,91,77587
71,backend-3,0.00,291.2,5,29130
76,backend-1,0.00,301.4,58,46091
76,backend-2,7.32,265.4,15,79239
76,backend-3,0.00,291.9,0,29237
81,backend-1,2.50,300.1,13,47590
81,backend-2,0.00,266.2,70,79346
81,backend-3,0.00,291.8,0,29289
86,backend-1,0.00,300.7,80,47756
86,backend-2,5.13,265.8,-3,80973
86,backend-3,1.23,291.0,0,29360
