elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,4.76,349.9,0,10587
0,backend-2,0.00,266.2,0,42501
0,backend-3,0.00,290.6,0,11857
5,backend-1,0.00,300.3,22,11446
5,backend-2,0.00,265.7,22,42974
5,backend-3,1.25,291.7,22,12308
10,backend-1,0.00,300.3,31,12160
10,backend-2,0.00,266.2,31,43518
10,backend-3,0.00,291.4,30,12786
15,backend-1,0.00,300.9,24,12892
15,backend-2,0.00,267.1,24,44101
15,backend-3,1.25,292.9,23,13205
20,backend-1,0.00,301.1,33,13519
20,backend-2,0.00,266.1,33,44705
20,backend-3,2.47,288.9,32,13750
25,backend-1,4.88,300.9,31,14121
25,backend-2,2.50,266.6,31,45312
25,backend-3,1.25,291.5,30,14301
30,backend-1,0.00,301.0,31,14653
30,backend-2,2.50,266.1,31,46000
30,backend-3,3.70,290.7,31,14841
35,backend-1,0.00,305.0,31,15292
35,backend-2,2.56,265.9,31,46602
35,backend-3,0.00,291.5,30,15355
40,backend-1,0.00,300.3,34,15882
40,backend-2,0.00,266.6,33,47222
40,backend-3,0.00,289.2,33,15913
45,backend-1,0.00,301.2,28,16436
45,backend-2,0.00,266.2,28,47913
45,backend-3,1.25,289.9,27,16424
50,backend-1,0.00,300.7,31,17007
50,backend-2,2.50,266.1,31,48534
50,backend-3,0.00,291.5,31,17009
55,backend-1,2.50,300.4,26,17542
55,backend-2,0.00,266.0,26,49027
55,backend-3,1.27,289.9,25,17742
60,backend-1,0.00,301.2,27,18032
60,backend-2,2.50,265.9,27,49546
60,backend-3,1.25,291.8,26,18467
65,backend-1,0.00,301.1,31,18566
65,backend-2,2.50,265.9,31,50124
65,backend-3,1.25,287.7,30,19118
70,backend-1,0.00,300.5,24,19330
70,backend-2,2.50,268.8,24,50586
70,backend-3,1.25,290.8,23,19643
75,backend-1,2.50,300.6,33,19900
75,backend-2,0.00,266.1,33,51189
75,backend-3,1.25,290.8,32,20221
80,backend-1,0.00,300.8,28,20525
80,backend-2,2.56,266.5,28,51782
80,backend-3,0.00,289.3,27,20764
86,backend-1,2.50,301.2,32,21081
86,backend-2,4.88,266.3,32,52473
86,backend-3,0.00,289.4,31,21301
