elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,300.9,0,21659
0,backend-2,0.00,266.4,0,52963
0,backend-3,0.00,292.0,0,21716
5,backend-1,2.50,304.9,-47,22006
5,backend-2,0.00,266.0,100,54516
5,backend-3,0.00,292.0,0,21716
10,backend-1,0.00,300.3,100,23406
10,backend-2,7.32,269.5,0,54816
10,backend-3,0.00,292.0,0,21716
15,backend-1,0.00,302.7,27,25086
15,backend-2,0.00,269.5,0,54816
15,backend-3,0.00,292.0,0,21716
20,backend-1,4.76,300.4,0,25306
20,backend-2,0.00,266.2,100,56416
20,backend-3,0.00,292.0,0,21716
25,backend-1,2.44,300.4,0,25306
25,backend-2,5.00,267.9,-9,56713
25,backend-3,0.00,295.7,97,23193
30,backend-1,0.00,300.7,100,26753
30,backend-2,0.00,265.8,0,56714
30,backend-3,3.75,291.3,-5,23418
35,backend-1,2.50,300.4,-20,26968
35,backend-2,2.50,265.8,0,56714
35,backend-3,0.00,290.7,100,24929
40,backend-1,0.00,300.5,100,28449
40,backend-2,0.00,266.2,0,56730
40,backend-3,2.50,290.2,-1,25119
46,backend-1,2.50,300.8,-19,28622
46,backend-2,0.00,266.1,100,58396
46,backend-3,0.00,290.2,0,25119
51,backend-1,0.00,301.1,100,30121
51,backend-2,2.63,266.0,-6,58585
51,backend-3,0.00,290.4,-10,25129
56,backend-1,5.00,300.5,-21,30301
56,backend-2,0.00,266.2,100,60285
56,backend-3,0.00,290.4,0,25129
61,backend-1,0.00,300.8,100,31850
61,backend-2,2.63,267.0,0,60406
61,backend-3,0.00,288.1,-8,25144
66,backend-1,7.32,300.6,-10,31984
66,backend-2,0.00,266.1,100,62122
66,backend-3,0.00,288.1,0,25144
71,backend-1,0.00,300.5,100,33529
71,backend-2,2.50,265.8,-19,62244
71,backend-3,2.44,291.1,-19,25163
76,backend-1,2.50,301.0,0,33629
76,backend-2,0.00,265.9,100,64032
76,backend-3,0.00,291.1,0,25163
81,backend-1,0.00,300.9,100,35228
81,backend-2,7.50,265.7,-14,64116
81,backend-3,0.00,290.0,-15,25179
86,backend-1,2.50,300.6,-30,35291
86,backend-2,0.00,265.1,100,65921
86,backend-3,0.00,290.0,0,25179
