elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,6067.6,0,5984
0,backend-2,0.00,3874.1,0,4548
0,backend-3,0.00,5507.1,0,5048
5,backend-1,0.00,6067.6,0,5984
5,backend-2,0.00,2012.9,100,4720
5,backend-3,1.23,5507.1,0,5048
10,backend-1,48.78,868.5,39,6092
10,backend-2,100.00,8901.3,36,4731
10,backend-3,0.00,5507.1,1,5049
16,backend-1,0.00,1234.6,8,6107
16,backend-2,0.00,6994.4,0,4731
16,backend-3,0.00,2165.3,91,5247
21,backend-1,0.00,2446.8,100,6286
21,backend-2,0.00,6994.4,0,4731
21,backend-3,0.00,5424.1,0,5247
26,backend-1,50.00,5270.5,0,6292
26,backend-2,0.00,3666.1,26,4762
26,backend-3,100.00,538.6,58,5410
31,backend-1,0.00,5270.5,0,6292
31,backend-2,97.56,2255.7,69,4910
31,backend-3,0.00,625.7,12,5431
36,backend-1,0.00,5270.5,1,6293
36,backend-2,20.51,6419.3,0,4910
36,backend-3,98.82,619.8,80,5616
41,backend-1,0.00,1408.7,100,6466
41,backend-2,0.00,6419.3,0,4910
41,backend-3,0.00,5056.2,0,5616
46,backend-1,50.00,6576.9,25,6483
46,backend-2,0.00,445.4,40,4965
46,backend-3,100.00,1703.7,10,5709
51,backend-1,0.00,5679.7,0,6483
51,backend-2,97.62,2963.8,91,5069
51,backend-3,0.00,999.8,4,5717
56,backend-1,0.00,587.1,57,6555
56,backend-2,97.50,8786.3,0,5069
56,backend-3,100.00,1335.0,33,5835
61,backend-1,0.00,3952.4,87,6658
61,backend-2,0.00,8786.3,0,5069
61,backend-3,0.00,290.1,13,5863
66,backend-1,0.00,365.5,12,6680
66,backend-2,2.44,8786.3,0,5069
66,backend-3,100.00,1717.9,54,6036
71,backend-1,0.00,2724.0,99,6832
71,backend-2,0.00,8786.3,0,5069
71,backend-3,0.00,5742.1,1,6037
76,backend-1,50.00,6515.9,29,6833
76,backend-2,0.00,374.1,57,5141
76,backend-3,98.84,2274.7,11,6147
81,backend-1,0.00,6039.7,0,6833
81,backend-2,100.00,3422.2,80,5233
81,backend-3,0.00,301.3,17,6191
86,backend-1,0.00,6039.7,0,6833
86,backend-2,0.00,7015.7,0,5233
86,backend-3,0.00,1257.6,100,6374
91,backend-1,50.00,1250.6,17,6973
91,backend-2,0.00,6282.0,0,5234
91,backend-3,98.77,6013.9,0,6377
