elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,2.44,1850.4,0,4687
0,backend-2,0.00,2259.5,0,3664
0,backend-3,0.00,1983.8,0,4303
5,backend-1,0.00,1850.4,4,4691
5,backend-2,0.00,2486.5,96,3825
5,backend-3,0.00,1983.8,0,4303
10,backend-1,0.00,1262.8,100,4869
10,backend-2,0.00,7381.7,0,3825
10,backend-3,0.00,1983.8,0,4303
15,backend-1,50.00,6012.2,16,4880
15,backend-2,0.00,1070.1,53,3926
15,backend-3,0.00,1983.8,0,4303
20,backend-1,0.00,5099.8,21,4903
20,backend-2,99.71,5065.3,-8,3992
20,backend-3,0.00,1567.2,45,4415
25,backend-1,0.00,2734.0,100,5059
25,backend-2,0.00,5185.9,0,3992
25,backend-3,0.00,2469.1,0,4415
30,backend-1,25.00,5275.0,0,5068
30,backend-2,0.00,1466.1,100,4153
30,backend-3,0.00,2469.1,0,4415
35,backend-1,2.44,3095.4,15,5087
35,backend-2,100.00,6439.2,47,4171
35,backend-3,98.78,815.2,18,4509
40,backend-1,2.44,2579.7,91,5246
40,backend-2,0.00,4109.2,9,4184
40,backend-3,0.00,1312.1,0,4509
45,backend-1,0.00,4198.0,7,5255
45,backend-2,0.00,2145.9,93,4344
45,backend-3,0.00,1312.1,0,4509
50,backend-1,50.00,1214.9,31,5420
50,backend-2,100.00,6706.1,19,4344
50,backend-3,0.00,1312.1,12,4521
55,backend-1,0.00,1420.5,12,5439
55,backend-2,0.00,6803.7,0,4344
55,backend-3,0.00,2338.8,88,4681
61,backend-1,0.00,1644.6,100,5590
61,backend-2,0.00,6803.7,0,4344
61,backend-3,0.00,5139.6,0,4681
66,backend-1,48.84,6495.7,8,5609
66,backend-2,100.00,1258.3,30,4436
66,backend-3,0.00,2657.2,29,4715
71,backend-1,0.00,3143.3,7,5620
71,backend-2,0.00,2402.8,0,4437
71,backend-3,98.77,3609.6,89,4853
76,backend-1,0.00,2141.0,100,5801
76,backend-2,0.00,2402.8,0,4437
76,backend-3,0.00,6178.4,0,4853
81,backend-1,50.00,6188.3,11,5810
81,backend-2,100.00,1216.3,36,4548
81,backend-3,0.00,777.2,28,4890
86,backend-1,0.00,2480.8,8,5824
86,backend-2,0.00,3874.1,0,4548
86,backend-3,100.00,3381.1,83,5048
91,backend-1,0.00,1735.4,87,5984
91,backend-2,0.00,3874.1,0,4548
91,backend-3,0.00,5507.1,0,5048
