elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,325.3,0,1590
0,backend-2,0.00,5285.8,0,1589
0,backend-3,0.00,272.2,29,1618
5,backend-1,50.00,2162.6,37,1761
5,backend-2,0.00,5285.8,0,1589
5,backend-3,98.80,4184.4,-1,1698
10,backend-1,50.00,3580.5,71,1847
10,backend-2,0.00,5285.8,0,1589
10,backend-3,0.00,305.3,14,1726
15,backend-1,4.88,4405.3,0,1847
15,backend-2,0.00,5285.8,0,1589
15,backend-3,100.00,2361.6,85,1906
20,backend-1,17.50,692.0,40,1912
20,backend-2,0.00,5285.8,0,1589
20,backend-3,100.00,7031.8,45,1936
25,backend-1,50.00,3405.5,83,2051
25,backend-2,0.00,5285.8,0,1589
25,backend-3,0.00,5471.1,0,1936
31,backend-1,51.22,4951.5,0,2062
31,backend-2,100.00,628.8,87,1759
31,backend-3,0.00,5471.1,0,1936
36,backend-1,2.44,4951.5,0,2062
36,backend-2,100.00,4194.1,90,1808
36,backend-3,1.23,5471.1,0,1936
41,backend-1,50.00,1327.9,76,2221
41,backend-2,100.00,5681.7,0,1817
41,backend-3,0.00,5471.1,0,1936
46,backend-1,50.00,5282.9,82,2304
46,backend-2,2.44,5681.7,0,1817
46,backend-3,0.00,5471.1,0,1936
51,backend-1,50.00,4853.4,0,2306
51,backend-2,0.00,5681.7,0,1817
51,backend-3,100.00,940.6,81,2120
56,backend-1,50.00,992.4,80,2466
56,backend-2,0.00,5681.7,0,1817
56,backend-3,97.59,5981.9,0,2135
61,backend-1,50.00,4596.5,86,2534
61,backend-2,0.00,5681.7,0,1817
61,backend-3,0.00,5981.9,0,2135
66,backend-1,51.16,4027.4,0,2547
66,backend-2,100.00,1556.2,65,2000
66,backend-3,0.00,5981.9,0,2135
71,backend-1,0.00,471.5,22,2593
71,backend-2,100.00,6252.4,62,2054
71,backend-3,0.00,5981.9,0,2135
76,backend-1,50.00,2724.4,65,2756
76,backend-2,100.00,6268.2,0,2054
76,backend-3,0.00,5981.9,0,2135
81,backend-1,50.00,4884.0,56,2844
81,backend-2,0.00,6268.2,0,2054
81,backend-3,0.00,3302.2,11,2151
86,backend-1,48.78,4492.9,0,2844
86,backend-2,0.00,6268.2,0,2054
86,backend-3,100.00,1594.2,86,2324
91,backend-1,48.78,1429.8,28,2902
91,backend-2,0.00,6268.2,0,2054
91,backend-3,98.90,5982.1,-3,2351
