elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,100.0,0,1
0,backend-2,0.00,0.0,0,0
0,backend-3,0.00,0.0,0,0
5,backend-1,50.00,1705.5,26,124
5,backend-2,100.00,2281.5,43,123
5,backend-3,98.78,368.4,6,123
10,backend-1,50.00,1455.1,22,224
10,backend-2,100.00,4171.2,56,222
10,backend-3,98.78,248.3,2,222
15,backend-1,50.00,2123.1,25,310
15,backend-2,100.00,3369.8,58,308
15,backend-3,51.28,211.5,4,308
20,backend-1,50.00,660.8,10,406
20,backend-2,100.00,3996.5,70,404
20,backend-3,29.07,349.3,5,404
25,backend-1,48.84,931.2,9,489
25,backend-2,100.00,4531.4,68,488
25,backend-3,83.33,246.2,3,488
30,backend-1,50.00,305.0,2,587
30,backend-2,100.00,4442.1,76,586
30,backend-3,98.75,214.7,1,585
35,backend-1,50.00,343.5,4,672
35,backend-2,100.00,5324.6,68,670
35,backend-3,67.50,465.9,10,670
40,backend-1,50.00,344.3,3,751
40,backend-2,100.00,7393.1,77,749
40,backend-3,96.39,232.4,2,749
45,backend-1,28.57,455.2,5,838
45,backend-2,100.00,6618.3,69,836
45,backend-3,43.75,273.6,4,836
50,backend-1,27.50,376.6,5,926
50,backend-2,100.00,3511.9,76,925
50,backend-3,98.91,304.7,6,925
55,backend-1,47.62,469.7,7,1019
55,backend-2,100.00,5496.6,75,1017
55,backend-3,41.25,261.5,4,1017
60,backend-1,50.00,560.2,7,1106
60,backend-2,100.00,4299.5,74,1105
60,backend-3,65.85,213.7,5,1105
65,backend-1,47.50,290.6,5,1179
65,backend-2,100.00,4616.9,75,1178
65,backend-3,93.83,267.7,3,1177
70,backend-1,51.22,706.0,14,1274
70,backend-2,100.00,4163.6,69,1273
70,backend-3,98.94,312.7,3,1272
75,backend-1,50.00,338.3,6,1362
75,backend-2,100.00,3404.5,72,1361
75,backend-3,66.25,288.9,7,1361
80,backend-1,45.24,236.8,0,1450
80,backend-2,100.00,5135.4,75,1448
80,backend-3,49.38,295.9,3,1448
86,backend-1,35.00,311.4,2,1532
86,backend-2,100.00,4706.6,82,1531
86,backend-3,83.33,288.7,3,1530
91,backend-1,50.00,325.3,-1,1590
91,backend-2,100.00,6442.2,72,1589
91,backend-3,91.14,272.2,-1,1589
