elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,4162.7,0,3881
0,backend-2,1.00,4588.5,0,7583
0,backend-3,0.00,2558.3,50,5144
6,backend-1,0.00,2766.8,15,3899
6,backend-2,0.00,4588.5,0,7583
6,backend-3,98.53,2478.4,34,5196
11,backend-1,0.00,2234.6,43,3998
11,backend-2,0.00,4588.5,0,7583
11,backend-3,0.00,1590.8,7,5207
16,backend-1,0.00,4851.6,0,3998
16,backend-2,0.00,2985.6,14,7600
16,backend-3,98.54,2325.0,33,5310
21,backend-1,0.00,4851.6,0,3998
21,backend-2,0.00,2095.8,39,7705
21,backend-3,0.00,1212.0,11,5326
26,backend-1,0.00,4851.6,0,3998
26,backend-2,0.00,2443.3,16,7725
26,backend-3,99.03,2295.7,32,5428
31,backend-1,0.00,4851.6,0,3998
31,backend-2,100.00,3009.5,41,7825
31,backend-3,0.50,2344.3,3,5433
36,backend-1,0.00,4851.6,0,3998
36,backend-2,0.00,1390.2,19,7850
36,backend-3,99.02,2036.4,31,5535
41,backend-1,0.00,4851.6,0,3998
41,backend-2,100.00,1999.1,24,7944
41,backend-3,0.00,1952.9,24,5563
46,backend-1,0.00,4851.6,0,3998
46,backend-2,1.00,2566.2,6,7953
46,backend-3,99.00,2623.8,39,5665
51,backend-1,0.00,4851.6,0,3998
51,backend-2,100.00,1890.9,30,8074
51,backend-3,0.50,151.5,11,5686
56,backend-1,0.00,4851.6,0,3998
56,backend-2,0.00,756.7,23,8105
56,backend-3,99.02,2564.7,24,5773
61,backend-1,0.00,4851.6,0,3998
61,backend-2,100.00,2978.2,34,8194
61,backend-3,0.00,186.5,8,5796
66,backend-1,0.00,4851.6,0,3998
66,backend-2,0.00,445.4,39,8243
66,backend-3,99.00,2740.7,9,5875
71,backend-1,0.00,4851.6,0,3998
71,backend-2,100.00,2737.2,30,8320
71,backend-3,0.00,1252.1,18,5899
76,backend-1,1.98,4851.6,0,3998
76,backend-2,1.00,2917.5,5,8328
76,backend-3,98.50,2438.7,40,6005
81,backend-1,0.00,4851.6,0,3998
81,backend-2,100.00,3117.5,30,8429
81,backend-3,0.00,647.5,20,6034
86,backend-1,0.00,4851.6,0,3998
86,backend-2,0.00,293.8,25,8465
86,backend-3,99.00,2341.1,20,6119
91,backend-1,0.00,4851.6,0,3998
91,backend-2,100.00,2096.7,23,8549
91,backend-3,0.00,632.5,20,6148
96,backend-1,0.00,4851.6,0,3998
96,backend-2,0.00,299.6,18,8579
96,backend-3,99.02,2526.3,24,6224
101,backend-1,0.00,4851.6,0,3998
101,backend-2,100.00,1997.1,40,8674
101,backend-3,0.50,2109.7,7,6234
106,backend-1,0.00,4851.6,0,3998
106,backend-2,0.00,404.6,30,8721
106,backend-3,98.51,2144.1,15,6325
111,backend-1,1.98,4851.6,0,3998
111,backend-2,100.00,2674.8,10,8799
111,backend-3,0.00,388.2,34,6373
116,backend-1,0.00,4851.6,0,3998
116,backend-2,0.00,642.2,28,8836
116,backend-3,98.51,3184.7,21,6454
121,backend-1,0.00,4851.6,0,3998
121,backend-2,100.00,3176.8,27,8915
121,backend-3,0.00,819.4,0,6461
