elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,1084.5,0,3622
0,backend-2,0.00,1649.6,0,6043
0,backend-3,0.00,1055.4,0,3980
5,backend-1,0.00,1084.5,0,3622
5,backend-2,99.64,3505.7,-2,6133
5,backend-3,0.00,687.6,40,4053
10,backend-1,0.00,1084.5,0,3622
10,backend-2,0.00,1915.8,50,6230
10,backend-3,99.00,2671.3,-5,4083
15,backend-1,0.00,1084.5,0,3622
15,backend-2,100.00,4734.9,-3,6275
15,backend-3,0.00,882.9,50,4157
21,backend-1,0.00,1084.5,0,3622
21,backend-2,0.00,1932.2,50,6364
21,backend-3,99.04,2489.1,-1,4180
26,backend-1,0.00,1084.5,0,3622
26,backend-2,99.01,4083.7,-6,6396
26,backend-3,0.00,1342.2,50,4257
31,backend-1,0.00,1084.5,0,3622
31,backend-2,0.00,1666.6,50,6497
31,backend-3,99.00,3695.7,-4,4278
36,backend-1,1.98,1084.5,0,3622
36,backend-2,100.00,3353.8,-6,6527
36,backend-3,0.00,1848.4,50,4366
41,backend-1,0.00,1084.5,0,3622
41,backend-2,0.00,1615.7,50,6640
41,backend-3,99.00,2885.7,-3,4387
46,backend-1,0.00,1084.5,0,3622
46,backend-2,99.02,3954.1,-9,6667
46,backend-3,0.00,1671.5,50,4472
51,backend-1,0.00,1084.5,0,3622
51,backend-2,0.00,1906.5,50,6775
51,backend-3,98.99,3033.7,-3,4498
56,backend-1,0.00,1084.5,0,3622
56,backend-2,100.00,3936.8,-9,6799
56,backend-3,0.00,1531.2,50,4589
61,backend-1,0.00,1084.5,0,3622
61,backend-2,0.00,1670.9,50,6906
61,backend-3,99.50,3291.0,-1,4610
66,backend-1,0.00,1084.5,0,3622
66,backend-2,99.04,4368.1,-6,6928
66,backend-3,0.00,1693.5,50,4693
71,backend-1,0.00,1084.5,0,3622
71,backend-2,0.00,1516.4,50,7038
71,backend-3,98.51,3492.7,0,4708
76,backend-1,0.00,1834.5,50,3730
76,backend-2,100.00,3812.8,-7,7056
76,backend-3,0.50,3492.7,0,4708
81,backend-1,100.00,4603.2,0,3750
81,backend-2,0.00,1480.0,50,7162
81,backend-3,0.50,3492.7,0,4708
86,backend-1,0.00,4603.2,0,3750
86,backend-2,99.02,3797.6,-10,7191
86,backend-3,0.00,1561.9,50,4787
91,backend-1,0.00,4603.2,0,3750
91,backend-2,0.00,1941.3,50,7304
91,backend-3,98.49,3404.1,-7,4811
96,backend-1,0.00,4603.2,0,3750
96,backend-2,100.00,3357.8,-10,7327
96,backend-3,0.00,2391.4,50,4910
101,backend-1,0.00,4603.2,0,3750
101,backend-2,0.00,1723.5,50,7432
101,backend-3,98.52,3795.6,-2,4924
106,backend-1,0.00,2046.9,50,3857
106,backend-2,100.00,3664.8,-3,7442
106,backend-3,1.00,3795.6,0,4924
111,backend-1,100.00,4162.7,-14,3881
111,backend-2,1.00,3664.8,0,7442
111,backend-3,0.50,2036.7,50,5018
116,backend-1,0.00,4162.7,0,3881
116,backend-2,0.00,1931.5,50,7554
116,backend-3,99.01,2678.2,0,5031
121,backend-1,0.00,4162.7,0,3881
121,backend-2,100.00,4588.5,-4,7583
121,backend-3,0.00,1443.7,35,5094
