elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,2204.4,0,2470
0,backend-2,0.00,1814.8,0,4450
0,backend-3,0.00,1885.4,0,3112
5,backend-1,0.00,1237.5,18,2493
5,backend-2,100.00,238.8,2,4482
5,backend-3,99.51,2071.2,-1,3140
10,backend-1,99.01,2261.3,0,2493
10,backend-2,100.00,1547.0,-1,4517
10,backend-3,0.00,1015.7,20,3166
15,backend-1,0.00,2261.3,0,2493
15,backend-2,0.00,1561.8,0,4549
15,backend-3,99.68,1355.5,20,3195
20,backend-1,0.00,2261.3,0,2493
20,backend-2,0.00,2080.7,8,4583
20,backend-3,99.40,1755.6,11,3215
25,backend-1,0.00,2261.3,0,2493
25,backend-2,99.03,1515.5,0,4618
25,backend-3,99.51,1359.6,20,3244
30,backend-1,0.00,2261.3,0,2493
30,backend-2,70.30,458.3,2,4663
30,backend-3,99.50,1415.5,17,3268
35,backend-1,0.00,2261.3,0,2493
35,backend-2,90.10,1755.3,-5,4697
35,backend-3,99.51,1271.9,20,3294
41,backend-1,0.00,2261.3,0,2493
41,backend-2,1.00,1690.4,-1,4730
41,backend-3,99.50,1077.4,18,3325
46,backend-1,0.00,2261.3,0,2493
46,backend-2,0.00,1609.2,0,4763
46,backend-3,99.01,1288.1,20,3352
51,backend-1,0.00,2261.3,0,2493
51,backend-2,100.00,1718.9,0,4794
51,backend-3,99.50,1405.9,19,3383
56,backend-1,0.00,2261.3,0,2493
56,backend-2,23.23,2116.1,18,4830
56,backend-3,90.50,1867.9,2,3394
61,backend-1,0.00,2261.3,0,2493
61,backend-2,100.00,1292.9,20,4860
61,backend-3,10.24,1534.3,-1,3425
66,backend-1,0.00,2261.3,0,2493
66,backend-2,100.00,1279.2,19,4890
66,backend-3,0.00,1703.0,0,3458
71,backend-1,0.00,2261.3,0,2493
71,backend-2,99.01,1103.0,17,4918
71,backend-3,0.50,1556.3,0,3486
76,backend-1,0.00,2261.3,0,2493
76,backend-2,100.00,1118.1,18,4949
76,backend-3,0.00,1911.1,0,3514
81,backend-1,0.00,2261.3,0,2493
81,backend-2,100.00,1961.5,10,4991
81,backend-3,0.00,1418.9,7,3538
86,backend-1,0.00,2261.3,0,2493
86,backend-2,100.00,1534.7,0,5011
86,backend-3,54.46,661.4,17,3586
91,backend-1,1.98,2261.3,0,2493
91,backend-2,99.04,1445.2,0,5042
91,backend-3,99.01,1241.6,20,3616
96,backend-1,0.00,2261.3,0,2493
96,backend-2,100.00,1543.1,0,5074
96,backend-3,99.02,1359.1,19,3645
101,backend-1,0.00,2261.3,0,2493
101,backend-2,100.00,2121.8,8,5106
101,backend-3,99.51,1584.9,10,3666
106,backend-1,0.00,2261.3,0,2493
106,backend-2,100.00,1512.2,0,5147
106,backend-3,0.00,1415.5,16,3695
111,backend-1,0.00,2261.3,0,2493
111,backend-2,100.00,1635.8,0,5179
111,backend-3,93.60,1607.9,19,3724
116,backend-1,1.98,2261.3,0,2493
116,backend-2,100.00,1978.7,0,5212
116,backend-3,99.50,1413.0,17,3747
