elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,6170.9,0,8663
0,backend-2,0.00,6270.0,0,16047
0,backend-3,0.00,2539.2,0,12034
5,backend-1,0.00,438.1,24,8711
5,backend-2,0.00,6270.0,0,16047
5,backend-3,99.52,4796.1,162,12234
10,backend-1,100.00,4054.1,161,8935
10,backend-2,0.99,6270.0,0,16047
10,backend-3,100.00,6619.4,-2,12234
15,backend-1,100.00,8461.4,65,8986
15,backend-2,0.00,1068.4,96,16190
15,backend-3,0.00,6619.4,0,12234
20,backend-1,99.03,5212.3,0,8986
20,backend-2,100.00,3686.5,145,16378
20,backend-3,0.00,6619.4,0,12234
25,backend-1,0.00,3023.1,200,9240
25,backend-2,0.00,5496.9,0,16399
25,backend-3,0.00,6619.4,0,12234
30,backend-1,0.00,7361.4,134,9264
30,backend-2,0.00,1204.5,66,16520
30,backend-3,0.00,6619.4,0,12234
35,backend-1,0.00,6242.1,0,9264
35,backend-2,100.00,4883.8,161,16730
35,backend-3,0.00,6619.4,0,12234
40,backend-1,0.00,1667.9,139,9442
40,backend-2,100.00,5832.6,9,16808
40,backend-3,0.00,6619.4,0,12234
46,backend-1,99.03,5766.6,132,9544
46,backend-2,97.00,348.9,13,16843
46,backend-3,0.00,6619.4,0,12234
51,backend-1,2.00,4835.0,0,9544
51,backend-2,97.00,2955.8,195,17115
51,backend-3,1.00,6619.4,0,12234
56,backend-1,2.00,1790.9,172,9755
56,backend-2,100.00,5954.8,27,17159
56,backend-3,0.00,6619.4,0,12234
61,backend-1,100.00,5884.6,87,9813
61,backend-2,95.96,544.4,18,17224
61,backend-3,0.00,6619.4,0,12234
66,backend-1,0.00,6214.8,0,9813
66,backend-2,95.96,3695.6,189,17490
66,backend-3,0.00,6619.4,0,12234
71,backend-1,0.00,852.6,66,9901
71,backend-2,100.00,6082.7,106,17575
71,backend-3,0.00,6619.4,0,12234
76,backend-1,93.07,4397.9,157,10077
76,backend-2,0.00,5225.4,0,17575
76,backend-3,0.00,6619.4,0,12234
81,backend-1,100.00,4982.4,0,10084
81,backend-2,0.00,1770.0,200,17860
81,backend-3,0.00,6619.4,0,12234
86,backend-1,52.00,606.2,29,10144
86,backend-2,0.00,6306.0,158,17935
86,backend-3,0.00,6619.4,0,12234
91,backend-1,52.00,4433.0,182,10342
91,backend-2,0.00,99.2,5,17952
91,backend-3,0.00,6619.4,0,12234
96,backend-1,90.91,6187.6,0,10342
96,backend-2,99.01,2032.9,82,18246
96,backend-3,0.00,6619.4,0,12234
101,backend-1,0.00,6187.6,1,10343
101,backend-2,99.01,6233.6,81,18362
101,backend-3,0.00,6619.4,0,12234
106,backend-1,0.00,3274.7,200,10603
106,backend-2,32.00,5340.9,0,18365
106,backend-3,0.50,6619.4,0,12234
111,backend-1,0.00,7816.7,128,10628
111,backend-2,100.00,1254.1,58,18507
111,backend-3,1.00,6619.4,0,12234
116,backend-1,0.00,5309.8,0,10628
116,backend-2,100.00,4519.8,183,18704
116,backend-3,0.50,6619.4,0,12234
121,backend-1,0.00,3017.4,186,10867
121,backend-2,100.00,5545.6,0,18725
121,backend-3,0.00,6619.4,0,12234
126,backend-1,100.00,6715.5,45,10867
126,backend-2,0.00,5545.6,0,18725
126,backend-3,0.00,6619.4,0,12234
