elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,2.00,3976.1,0,3049
0,backend-2,0.00,5885.1,0,7293
0,backend-3,0.50,2322.1,0,3866
5,backend-1,0.00,2416.0,19,3227
5,backend-2,72.28,1051.8,19,7472
5,backend-3,0.00,3202.0,19,4047
10,backend-1,100.00,2731.7,50,3351
10,backend-2,100.00,2158.9,51,7652
10,backend-3,99.51,2296.3,51,4186
15,backend-1,100.00,2910.8,49,3477
15,backend-2,100.00,2398.5,51,7802
15,backend-3,99.51,2438.3,50,4340
20,backend-1,98.99,2771.8,48,3599
20,backend-2,100.00,1555.7,49,7969
20,backend-3,99.51,1976.9,48,4489
25,backend-1,99.01,3516.6,48,3732
25,backend-2,100.00,2255.4,49,8128
25,backend-3,99.51,1734.9,48,4640
30,backend-1,100.00,3429.8,49,3856
30,backend-2,100.00,2255.2,49,8288
30,backend-3,99.50,2397.1,49,4792
36,backend-1,100.00,2675.0,51,3976
36,backend-2,100.00,2427.2,52,8452
36,backend-3,99.50,1828.2,51,4943
41,backend-1,100.00,2524.3,51,4098
41,backend-2,100.00,2007.1,52,8612
41,backend-3,99.51,1832.6,52,5100
46,backend-1,100.00,3488.4,51,4240
46,backend-2,100.00,2219.2,55,8768
46,backend-3,99.01,1582.9,52,5244
51,backend-1,100.00,3433.1,50,4369
51,backend-2,100.00,2009.8,51,8943
51,backend-3,99.02,1850.7,50,5397
56,backend-1,100.00,3406.8,48,4490
56,backend-2,100.00,2314.9,49,9105
56,backend-3,99.50,1817.6,49,5554
61,backend-1,100.00,2770.7,51,4616
61,backend-2,99.54,2046.8,51,9250
61,backend-3,99.50,1881.7,51,5705
66,backend-1,100.00,2811.1,53,4737
66,backend-2,100.00,2056.0,54,9423
66,backend-3,99.50,1869.4,53,5859
71,backend-1,100.00,2955.0,54,4872
71,backend-2,100.00,1869.9,54,9568
71,backend-3,99.50,1939.1,54,6006
76,backend-1,100.00,3494.5,55,4997
76,backend-2,100.00,1753.0,56,9726
76,backend-3,99.50,1990.2,56,6155
81,backend-1,100.00,3425.0,54,5120
81,backend-2,100.00,2010.0,55,9892
81,backend-3,99.01,1616.3,55,6305
86,backend-1,99.03,3254.0,51,5254
86,backend-2,100.00,1610.3,51,10047
86,backend-3,98.99,2226.8,51,6461
91,backend-1,100.00,2644.6,52,5378
91,backend-2,99.67,2114.6,52,10212
91,backend-3,99.50,2019.0,52,6610
96,backend-1,100.00,3749.3,49,5498
96,backend-2,100.00,2064.6,50,10374
96,backend-3,99.51,1741.6,50,6758
101,backend-1,100.00,3362.7,49,5628
101,backend-2,100.00,2489.7,51,10519
101,backend-3,98.54,1767.9,50,6913
106,backend-1,99.01,3141.5,51,5764
106,backend-2,100.00,1961.4,51,10675
106,backend-3,99.02,2513.8,51,7064
111,backend-1,99.01,3861.4,49,5881
111,backend-2,99.64,1835.2,50,10825
111,backend-3,99.02,2208.7,50,7217
116,backend-1,100.00,3086.7,49,6012
116,backend-2,100.00,1990.7,52,10981
116,backend-3,99.01,1869.4,50,7363
122,backend-1,100.00,3346.5,42,6103
122,backend-2,100.00,2150.7,-2,11089
122,backend-3,99.00,1488.1,-5,7483
