elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,1.98,3976.1,0,3049
0,backend-2,0.00,702.5,0,3464
0,backend-3,0.00,1706.0,0,3465
5,backend-1,0.00,3976.1,0,3049
5,backend-2,0.00,4718.8,200,3709
5,backend-3,0.00,1706.0,0,3465
10,backend-1,0.00,3976.1,0,3049
10,backend-2,100.00,4983.8,105,3840
10,backend-3,99.50,1927.9,56,3599
15,backend-1,0.00,3976.1,0,3049
15,backend-2,100.00,5276.3,196,4016
15,backend-3,0.00,2780.1,0,3599
20,backend-1,0.00,3976.1,0,3049
20,backend-2,99.02,4132.9,162,4182
20,backend-3,0.50,2780.1,0,3599
25,backend-1,0.00,3976.1,0,3049
25,backend-2,100.00,7293.7,134,4353
25,backend-3,0.00,2780.1,0,3599
30,backend-1,0.00,3976.1,0,3049
30,backend-2,100.00,4656.4,134,4492
30,backend-3,0.00,2780.1,0,3599
35,backend-1,0.00,3976.1,0,3049
35,backend-2,99.03,5362.8,151,4652
35,backend-3,0.00,2780.1,0,3599
40,backend-1,2.02,3976.1,0,3049
40,backend-2,100.00,6139.6,154,4808
40,backend-3,0.50,2780.1,0,3599
45,backend-1,0.00,3976.1,0,3049
45,backend-2,100.00,5424.7,127,4946
45,backend-3,99.51,2154.1,66,3732
50,backend-1,1.98,3976.1,0,3049
50,backend-2,100.00,5074.5,160,5115
50,backend-3,0.00,2374.4,0,3732
55,backend-1,0.00,3976.1,0,3049
55,backend-2,100.00,7224.3,157,5275
55,backend-3,0.00,2374.4,0,3732
60,backend-1,0.00,3976.1,0,3049
60,backend-2,100.00,7955.0,150,5435
60,backend-3,0.00,2374.4,0,3732
65,backend-1,0.00,3976.1,0,3049
65,backend-2,100.00,6291.0,126,5590
65,backend-3,99.51,2227.0,32,3866
70,backend-1,0.00,3976.1,0,3049
70,backend-2,100.00,5898.9,168,5727
70,backend-3,0.50,2322.1,0,3866
76,backend-1,0.00,3976.1,0,3049
76,backend-2,100.00,6753.0,168,5904
76,backend-3,0.00,2322.1,0,3866
81,backend-1,0.00,3976.1,0,3049
81,backend-2,100.00,6955.0,155,6049
81,backend-3,0.00,2322.1,0,3866
86,backend-1,0.00,3976.1,0,3049
86,backend-2,100.00,6482.2,153,6212
86,backend-3,0.00,2322.1,0,3866
91,backend-1,0.00,3976.1,0,3049
91,backend-2,99.03,6284.7,145,6372
91,backend-3,0.00,2322.1,0,3866
96,backend-1,0.00,3976.1,0,3049
96,backend-2,100.00,4979.5,152,6535
96,backend-3,0.00,2322.1,0,3866
101,backend-1,1.98,3976.1,0,3049
101,backend-2,100.00,7168.7,152,6680
101,backend-3,0.00,2322.1,0,3866
106,backend-1,0.00,3976.1,0,3049
106,backend-2,100.00,6634.4,154,6851
106,backend-3,0.00,2322.1,0,3866
111,backend-1,0.00,3976.1,0,3049
111,backend-2,99.02,5730.7,164,7018
111,backend-3,0.00,2322.1,0,3866
116,backend-1,0.00,3976.1,0,3049
116,backend-2,100.00,5956.9,147,7169
116,backend-3,0.00,2322.1,0,3866
121,backend-1,0.00,3976.1,0,3049
121,backend-2,100.00,7054.1,100,7293
121,backend-3,0.00,2322.1,0,3866
