elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,100.0,0,1
0,backend-2,0.00,0.0,0,0
0,backend-3,0.00,0.0,0,0
6,backend-1,100.00,3018.2,53,183
6,backend-2,100.00,1284.9,29,182
6,backend-3,99.00,3066.0,65,181
11,backend-1,100.00,3309.2,84,335
11,backend-2,99.00,140.8,3,334
11,backend-3,99.50,3457.6,66,333
16,backend-1,100.00,4335.3,96,476
16,backend-2,84.31,85.5,-1,474
16,backend-3,99.50,1278.6,46,474
21,backend-1,100.00,5627.6,112,616
21,backend-2,80.39,76.2,3,614
21,backend-3,98.92,803.6,15,614
26,backend-1,100.00,7774.0,122,746
26,backend-2,81.63,50.9,1,745
26,backend-3,99.02,88.3,3,745
31,backend-1,100.00,8986.1,103,847
31,backend-2,55.00,134.1,11,867
31,backend-3,70.85,165.5,13,867
36,backend-1,100.00,2156.0,46,905
36,backend-2,99.04,1630.8,44,1049
36,backend-3,99.00,2657.3,88,1048
41,backend-1,100.00,2983.6,51,1055
41,backend-2,100.00,530.0,18,1200
41,backend-3,99.50,2489.6,86,1198
46,backend-1,100.00,3499.2,79,1199
46,backend-2,100.00,73.0,-1,1344
46,backend-3,99.51,2969.4,73,1342
51,backend-1,99.01,4674.1,96,1341
51,backend-2,93.07,65.6,2,1486
51,backend-3,99.51,2410.4,46,1484
56,backend-1,100.00,6627.4,121,1483
56,backend-2,98.04,76.8,1,1627
56,backend-3,99.00,644.8,12,1626
61,backend-1,100.00,7013.0,125,1617
61,backend-2,91.92,52.6,0,1762
61,backend-3,99.50,81.6,0,1761
66,backend-1,100.00,7267.5,92,1705
66,backend-2,75.00,288.2,14,1891
66,backend-3,87.56,447.1,21,1891
71,backend-1,99.01,1159.2,30,1772
71,backend-2,100.00,1763.2,55,2069
71,backend-3,99.52,2972.0,104,2070
77,backend-1,100.00,2156.3,51,1921
77,backend-2,99.01,1310.5,27,2218
77,backend-3,99.51,3693.0,83,2218
82,backend-1,99.03,2997.3,70,2069
82,backend-2,100.00,355.2,7,2366
82,backend-3,99.35,2992.4,73,2367
87,backend-1,100.00,4403.8,90,2212
87,backend-2,100.00,67.6,0,2509
87,backend-3,99.51,2645.3,55,2509
92,backend-1,100.00,5417.1,109,2352
92,backend-2,82.83,66.0,3,2649
92,backend-3,99.51,1360.5,26,2649
97,backend-1,100.00,6727.9,133,2493
97,backend-2,78.22,154.6,2,2790
97,backend-3,99.51,104.7,-1,2790
102,backend-1,100.00,7237.3,121,2620
102,backend-2,87.00,57.8,1,2917
102,backend-3,87.32,84.8,1,2917
107,backend-1,100.00,7730.5,80,2701
107,backend-2,79.21,337.5,18,3055
107,backend-3,89.23,698.7,25,3056
112,backend-1,100.00,2202.5,81,2799
112,backend-2,100.00,2524.4,40,3214
112,backend-3,99.50,2691.4,69,3216
117,backend-1,100.00,4007.1,82,2945
117,backend-2,100.00,1105.3,18,3360
117,backend-3,99.50,1904.5,48,3362
122,backend-1,100.00,4012.3,58,3049
122,backend-2,100.00,702.5,-5,3464
122,backend-3,99.52,1706.0,-8,3465
