elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,300.4,0,13957
0,backend-2,0.00,265.8,0,13956
0,backend-3,0.00,291.2,0,13955
5,backend-1,0.00,300.4,0,13957
5,backend-2,3.00,265.2,100,15856
5,backend-3,0.00,291.2,0,13955
10,backend-1,0.00,300.4,0,13957
10,backend-2,4.08,266.9,79,17756
10,backend-3,0.50,291.2,0,13955
15,backend-1,0.00,300.4,0,13957
15,backend-2,3.03,268.1,100,19656
15,backend-3,0.00,291.2,0,13955
20,backend-1,0.00,300.4,0,13957
20,backend-2,2.06,266.1,100,21555
20,backend-3,0.99,291.2,0,13955
25,backend-1,0.00,300.4,0,13957
25,backend-2,2.04,266.9,96,23441
25,backend-3,0.00,291.2,0,13955
31,backend-1,0.00,300.4,0,13957
31,backend-2,4.04,266.0,80,25299
31,backend-3,0.00,291.2,0,13955
36,backend-1,0.00,300.4,0,13957
36,backend-2,4.04,265.5,100,27173
36,backend-3,0.00,291.2,0,13955
41,backend-1,0.00,300.4,0,13957
41,backend-2,3.06,266.2,95,29056
41,backend-3,0.00,291.2,0,13955
46,backend-1,0.00,300.4,0,13957
46,backend-2,2.04,266.4,80,30955
46,backend-3,0.00,291.2,0,13955
51,backend-1,0.00,300.4,0,13957
51,backend-2,2.06,266.3,96,32853
51,backend-3,0.00,291.2,0,13955
56,backend-1,2.00,300.4,0,13957
56,backend-2,5.05,266.6,97,34743
56,backend-3,0.00,291.2,0,13955
61,backend-1,2.00,300.4,0,13957
61,backend-2,3.06,266.2,88,36629
61,backend-3,0.00,291.2,0,13955
66,backend-1,0.00,300.4,0,13957
66,backend-2,3.06,266.6,70,38521
66,backend-3,0.00,291.2,0,13955
71,backend-1,0.00,300.4,0,13957
71,backend-2,5.05,265.3,100,40382
71,backend-3,0.00,291.2,0,13955
76,backend-1,0.00,300.4,0,13957
76,backend-2,4.04,265.6,99,42264
76,backend-3,0.50,291.2,0,13955
81,backend-1,2.00,300.4,0,13957
81,backend-2,4.04,266.0,98,44147
81,backend-3,0.50,291.2,0,13955
86,backend-1,0.00,300.4,0,13957
86,backend-2,5.05,269.2,100,46044
86,backend-3,0.50,291.2,0,13955
91,backend-1,0.00,300.4,0,13957
91,backend-2,3.06,265.7,95,47942
91,backend-3,0.00,291.2,0,13955
96,backend-1,0.00,300.4,0,13957
96,backend-2,3.09,265.9,91,49826
96,backend-3,0.50,291.2,0,13955
101,backend-1,0.00,300.4,0,13957
101,backend-2,8.16,265.6,99,51713
101,backend-3,0.00,291.2,0,13955
106,backend-1,0.00,300.4,0,13957
106,backend-2,3.06,265.6,100,53589
106,backend-3,0.00,291.2,0,13955
111,backend-1,0.00,300.4,0,13957
111,backend-2,4.08,265.8,100,55479
111,backend-3,0.00,291.2,0,13955
116,backend-1,0.00,300.4,0,13957
116,backend-2,6.00,266.0,92,57363
116,backend-3,0.00,291.2,0,13955
