elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,3.92,100.0,0,1
0,backend-2,0.00,0.0,0,0
0,backend-3,0.50,0.0,0,0
5,backend-1,4.00,300.4,30,600
5,backend-2,1.01,265.8,31,599
5,backend-3,1.50,289.2,31,599
10,backend-1,2.02,300.1,30,1186
10,backend-2,2.02,265.4,28,1185
10,backend-3,1.52,290.9,29,1185
15,backend-1,2.02,300.3,29,1773
15,backend-2,1.02,265.6,28,1772
15,backend-3,1.02,290.3,29,1772
20,backend-1,0.00,300.2,30,2362
20,backend-2,1.02,265.7,29,2360
20,backend-3,1.52,291.0,29,2360
25,backend-1,4.00,300.4,29,2948
25,backend-2,2.04,265.6,28,2946
25,backend-3,1.52,290.2,31,2946
30,backend-1,5.94,303.8,29,3514
30,backend-2,1.02,269.2,31,3512
30,backend-3,1.52,294.2,29,3512
35,backend-1,5.94,300.6,30,4107
35,backend-2,2.02,267.5,28,4105
35,backend-3,1.02,289.8,29,4105
40,backend-1,2.02,300.5,30,4695
40,backend-2,4.04,265.5,29,4694
40,backend-3,1.52,290.3,30,4693
45,backend-1,2.02,300.1,29,5283
45,backend-2,3.00,266.2,29,5281
45,backend-3,1.52,290.0,30,5281
50,backend-1,2.02,300.4,30,5869
50,backend-2,2.02,265.6,28,5867
50,backend-3,2.00,290.8,30,5867
55,backend-1,4.00,300.3,29,6455
55,backend-2,2.02,265.9,29,6454
55,backend-3,1.52,289.7,30,6454
60,backend-1,4.00,300.4,29,7042
60,backend-2,2.02,265.8,29,7040
60,backend-3,0.51,289.7,28,7040
66,backend-1,2.02,300.4,29,7629
66,backend-2,2.02,266.9,28,7628
66,backend-3,1.52,291.6,30,7628
71,backend-1,0.00,300.7,28,8216
71,backend-2,2.02,266.4,29,8215
71,backend-3,1.02,290.3,29,8215
76,backend-1,4.00,300.3,29,8803
76,backend-2,2.02,265.9,29,8802
76,backend-3,1.02,289.6,30,8802
81,backend-1,4.00,300.6,29,9390
81,backend-2,2.04,266.2,29,9389
81,backend-3,2.01,289.7,28,9388
86,backend-1,2.02,300.5,29,9976
86,backend-2,1.02,265.9,29,9975
86,backend-3,4.52,289.8,30,9975
91,backend-1,6.06,300.4,30,10563
91,backend-2,2.04,266.1,30,10561
91,backend-3,1.01,290.4,30,10561
96,backend-1,4.04,300.2,29,11149
96,backend-2,2.04,265.8,30,11148
96,backend-3,1.52,290.3,29,11148
101,backend-1,0.00,300.5,30,11736
101,backend-2,2.02,267.9,29,11735
101,backend-3,1.02,289.7,29,11735
106,backend-1,2.02,300.3,29,12323
106,backend-2,3.00,265.8,29,12322
106,backend-3,1.52,289.7,29,12322
111,backend-1,2.04,300.2,30,12910
111,backend-2,2.02,265.5,29,12909
111,backend-3,2.01,290.5,29,12908
116,backend-1,4.00,300.2,29,13496
116,backend-2,0.00,266.0,29,13495
116,backend-3,1.52,290.3,29,13495
