elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,1.98,960.0,47,6077
0,backend-2,0.99,6436.8,0,10300
0,backend-3,0.00,6107.1,53,7618
5,backend-1,1.98,2789.6,0,6077
5,backend-2,0.00,6436.8,0,10300
5,backend-3,0.00,2133.9,100,7730
10,backend-1,1.98,1392.1,100,6223
10,backend-2,0.00,6436.8,0,10300
10,backend-3,70.71,5865.2,0,7742
15,backend-1,100.00,4651.9,82,6276
15,backend-2,0.00,6436.8,0,10300
15,backend-3,0.00,5865.2,0,7742
20,backend-1,99.03,4898.5,0,6283
20,backend-2,0.00,6436.8,0,10300
20,backend-3,0.00,717.6,100,7930
25,backend-1,1.98,4388.3,3,6287
25,backend-2,0.00,6436.8,0,10300
25,backend-3,99.50,5289.2,88,7995
30,backend-1,100.00,2463.7,78,6467
30,backend-2,0.99,6436.8,0,10300
30,backend-3,0.00,5462.7,0,7995
35,backend-1,100.00,5841.8,67,6503
35,backend-2,4.17,6436.8,0,10300
35,backend-3,0.00,2042.4,10,8013
40,backend-1,0.00,4754.5,0,6503
40,backend-2,0.00,6436.8,0,10300
40,backend-3,99.51,1599.0,82,8196
45,backend-1,36.36,561.8,27,6567
45,backend-2,1.00,6436.8,0,10300
45,backend-3,99.51,6337.4,65,8244
50,backend-1,36.36,3104.1,93,6716
50,backend-2,0.00,6436.8,0,10300
50,backend-3,1.00,6210.7,0,8244
55,backend-1,100.00,6317.3,45,6746
55,backend-2,0.00,6436.8,0,10300
55,backend-3,99.50,397.3,36,8324
60,backend-1,0.00,5883.5,0,6746
60,backend-2,1.98,6436.8,0,10300
60,backend-3,99.50,2833.1,95,8434
65,backend-1,100.00,1044.1,44,6888
65,backend-2,0.00,6436.8,0,10300
65,backend-3,99.52,4545.2,0,8461
70,backend-1,100.00,4287.3,28,6947
70,backend-2,0.00,6436.8,0,10300
70,backend-3,0.00,477.5,15,8499
75,backend-1,70.00,5842.8,0,6947
75,backend-2,1.00,6436.8,0,10300
75,backend-3,99.50,2071.7,92,8654
80,backend-1,0.00,3460.3,8,6959
80,backend-2,0.00,6436.8,0,10300
80,backend-3,99.50,5199.5,83,8727
85,backend-1,0.00,2254.2,100,7135
85,backend-2,0.00,6436.8,0,10300
85,backend-3,0.00,5594.3,0,8727
90,backend-1,100.00,6642.5,39,7177
90,backend-2,0.99,6436.8,0,10300
90,backend-3,15.92,568.1,39,8789
95,backend-1,0.00,5187.2,0,7177
95,backend-2,4.04,6436.8,0,10300
95,backend-3,99.54,2997.3,90,8900
101,backend-1,100.00,1110.8,63,7326
101,backend-2,0.00,6436.8,0,10300
101,backend-3,99.49,5276.2,-1,8931
106,backend-1,100.00,6359.1,58,7379
106,backend-2,0.00,6436.8,0,10300
106,backend-3,0.00,4368.3,5,8938
111,backend-1,100.00,5962.0,0,7379
111,backend-2,0.00,6436.8,0,10300
111,backend-3,0.00,1607.8,100,9113
116,backend-1,0.00,5962.0,0,7379
116,backend-2,0.00,6436.8,0,10300
116,backend-3,99.50,5048.8,94,9176
121,backend-1,100.00,1395.0,8,7436
121,backend-2,0.00,6436.8,0,10300
121,backend-3,99.52,5482.2,30,9235
