elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,5037.4,0,2030
0,backend-2,0.00,3525.0,0,4615
0,backend-3,0.00,280.1,0,2028
5,backend-1,100.00,1844.5,27,2134
5,backend-2,100.00,1778.0,31,4754
5,backend-3,99.50,1573.6,31,2157
10,backend-1,100.00,1853.0,29,2233
10,backend-2,100.00,1356.4,29,4857
10,backend-3,99.01,1787.0,29,2249
15,backend-1,100.00,2207.1,27,2318
15,backend-2,99.01,2236.4,28,4947
15,backend-3,99.01,1208.6,27,2359
20,backend-1,100.00,2165.4,27,2409
20,backend-2,100.00,2167.9,27,5041
20,backend-3,98.50,1587.1,27,2459
25,backend-1,100.00,1514.5,26,2492
25,backend-2,100.00,1297.3,27,5148
25,backend-3,99.02,1380.5,26,2563
30,backend-1,100.00,2885.6,27,2591
30,backend-2,99.04,2205.5,27,5235
30,backend-3,99.51,1542.9,27,2668
35,backend-1,100.00,1771.7,26,2673
35,backend-2,100.00,759.6,27,5340
35,backend-3,98.95,1936.2,26,2769
40,backend-1,100.00,1853.1,27,2780
40,backend-2,100.00,2041.0,27,5435
40,backend-3,98.19,1324.1,27,2863
45,backend-1,100.00,2264.2,28,2856
45,backend-2,99.01,1206.2,29,5558
45,backend-3,99.03,1501.5,29,2982
50,backend-1,100.00,2379.1,27,2940
50,backend-2,100.00,1830.8,28,5654
50,backend-3,98.54,1498.7,28,3103
55,backend-1,100.00,2512.9,28,3027
55,backend-2,100.00,1658.1,29,5771
55,backend-3,98.50,911.5,29,3210
60,backend-1,100.00,1841.4,27,3135
60,backend-2,100.00,2102.3,27,5855
60,backend-3,98.85,1117.4,27,3323
65,backend-1,100.00,2663.1,30,3217
65,backend-2,100.00,1434.0,30,5967
65,backend-3,98.52,1701.4,30,3418
70,backend-1,100.00,1461.0,28,3305
70,backend-2,99.00,1951.2,29,6060
70,backend-3,99.02,1945.6,28,3503
75,backend-1,99.01,2153.3,28,3384
75,backend-2,99.01,2676.3,29,6157
75,backend-3,98.52,1195.7,28,3595
80,backend-1,100.00,2343.7,28,3477
80,backend-2,100.00,1159.7,28,6269
80,backend-3,98.66,1521.9,28,3692
85,backend-1,99.07,1987.7,29,3548
85,backend-2,100.00,1145.2,29,6373
85,backend-3,99.50,1356.8,29,3798
90,backend-1,100.00,1819.3,29,3640
90,backend-2,99.01,1263.2,30,6495
90,backend-3,99.00,1429.4,29,3908
95,backend-1,100.00,1221.1,27,3745
95,backend-2,100.00,1336.3,28,6593
95,backend-3,98.51,1076.9,27,4017
100,backend-1,100.00,2344.0,28,3815
100,backend-2,100.00,1440.5,29,6698
100,backend-3,99.00,1653.3,28,4103
106,backend-1,99.01,3199.2,29,3885
106,backend-2,100.00,723.2,29,6806
106,backend-3,99.02,1259.0,29,4217
111,backend-1,99.01,2610.2,29,3955
111,backend-2,100.00,1731.5,29,6916
111,backend-3,99.50,1019.1,29,4331
116,backend-1,100.00,1920.8,27,4053
116,backend-2,100.00,1446.5,28,7025
116,backend-3,99.01,1688.9,28,4432
121,backend-1,100.00,2756.4,9,4120
121,backend-2,100.00,1836.0,7,7112
121,backend-3,99.00,2010.5,0,4511
