elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,182.8,0,26
0,backend-2,0.00,77.6,0,9540
0,backend-3,0.00,5584.4,0,27
5,backend-1,4.00,556.5,0,103
5,backend-2,0.00,463.3,35,9813
5,backend-3,0.00,5584.4,0,27
10,backend-1,4.00,483.3,35,257
10,backend-2,99.47,707.9,0,10009
10,backend-3,0.00,5584.4,0,27
15,backend-1,0.00,367.6,14,306
15,backend-2,100.00,832.4,39,10317
15,backend-3,0.00,5584.4,0,27
20,backend-1,1.98,1104.8,0,418
20,backend-2,100.00,762.9,41,10562
20,backend-3,0.00,5584.4,0,27
25,backend-1,100.00,1256.3,0,590
25,backend-2,81.73,345.8,12,10740
25,backend-3,0.00,5584.4,0,27
30,backend-1,0.00,1256.3,0,590
30,backend-2,81.73,618.1,68,11097
30,backend-3,0.00,5584.4,0,27
35,backend-1,0.00,1457.2,57,821
35,backend-2,12.87,191.2,5,11216
35,backend-3,0.00,5584.4,0,27
40,backend-1,0.00,1805.6,0,821
40,backend-2,100.00,947.5,59,11573
40,backend-3,0.00,5584.4,0,27
46,backend-1,0.00,1048.2,86,1003
46,backend-2,69.00,1630.0,0,11741
46,backend-3,0.00,5584.4,0,27
51,backend-1,0.00,1898.8,0,1094
51,backend-2,100.00,607.1,40,12007
51,backend-3,0.50,5584.4,0,27
56,backend-1,0.00,1898.8,0,1094
56,backend-2,100.00,1556.5,94,12357
56,backend-3,0.00,5584.4,0,27
61,backend-1,98.99,1078.1,51,1353
61,backend-2,0.00,2185.8,0,12455
61,backend-3,0.00,5584.4,0,27
66,backend-1,100.00,2997.6,0,1493
66,backend-2,99.03,432.5,22,12665
66,backend-3,0.00,5584.4,0,27
71,backend-1,0.00,2997.6,0,1493
71,backend-2,100.00,1377.1,50,13022
71,backend-3,0.00,5584.4,0,27
76,backend-1,0.00,2997.6,0,1493
76,backend-2,100.00,1931.3,70,13372
76,backend-3,0.50,5584.4,0,27
81,backend-1,0.00,2997.6,0,1493
81,backend-2,100.00,1426.6,135,13729
81,backend-3,0.50,5584.4,0,27
86,backend-1,0.00,820.9,103,1731
86,backend-2,100.00,2829.0,0,13841
86,backend-3,0.00,5584.4,0,27
91,backend-1,99.01,2900.1,5,1906
91,backend-2,100.00,357.8,23,14023
91,backend-3,0.50,5584.4,0,27
96,backend-1,0.00,2991.5,0,1906
96,backend-2,100.00,925.1,57,14373
96,backend-3,0.00,5584.4,0,27
101,backend-1,0.00,2991.5,0,1906
101,backend-2,100.00,1171.3,133,14730
101,backend-3,0.00,5584.4,0,27
106,backend-1,100.00,1349.1,36,2130
106,backend-2,83.84,2968.6,0,14856
106,backend-3,0.00,5584.4,0,27
111,backend-1,100.00,3036.5,57,2361
111,backend-2,15.53,280.9,15,14975
111,backend-3,0.00,5584.4,0,27
116,backend-1,0.00,3210.3,0,2361
116,backend-2,100.00,1022.8,55,15332
116,backend-3,0.00,5584.4,0,27
