elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,947.8,0,5851
0,backend-2,5.05,1083.6,0,13916
0,backend-3,0.00,344.4,0,10209
5,backend-1,0.00,2237.1,260,6211
5,backend-2,0.00,551.6,110,14067
5,backend-3,100.00,327.2,-15,10448
11,backend-1,70.71,680.9,109,6346
11,backend-2,100.00,4227.7,49,14372
11,backend-3,99.50,2325.1,140,10758
16,backend-1,70.71,4859.7,560,6946
16,backend-2,0.00,4713.6,0,14372
16,backend-3,0.50,683.6,140,10923
21,backend-1,70.71,9244.4,291,6946
21,backend-2,0.00,2380.8,369,14852
21,backend-3,99.01,4596.1,-4,11208
26,backend-1,98.00,648.3,136,7111
26,backend-2,100.00,4777.0,51,14957
26,backend-3,99.51,2668.5,238,11688
31,backend-1,98.00,4562.2,551,7681
31,backend-2,0.00,521.7,167,15152
31,backend-3,100.00,6323.7,-4,11688
36,backend-1,98.00,8891.3,410,7681
36,backend-2,0.00,3938.6,775,15902
36,backend-3,0.50,6323.7,0,11688
41,backend-1,100.00,11438.8,0,7681
41,backend-2,78.00,7021.6,157,15932
41,backend-3,0.50,3233.4,624,12423
46,backend-1,0.00,768.6,169,7891
46,backend-2,100.00,11290.8,189,16232
46,backend-3,0.50,6134.8,502,12663
51,backend-1,0.00,5364.1,759,8641
51,backend-2,100.00,10232.7,-24,16232
51,backend-3,100.00,10643.5,61,12663
56,backend-1,0.00,8097.2,832,8881
56,backend-2,100.00,2024.1,79,16532
56,backend-3,0.00,943.8,189,12888
61,backend-1,0.00,10822.2,634,8881
61,backend-2,0.00,905.1,173,16757
61,backend-3,99.81,4732.3,338,13413
66,backend-1,0.00,15384.7,328,8881
66,backend-2,100.00,1373.4,490,17507
66,backend-3,100.00,8452.9,46,13413
71,backend-1,100.00,17853.8,0,8881
71,backend-2,100.00,7915.3,414,17732
71,backend-3,100.00,1383.4,413,13953
76,backend-1,9.90,546.3,195,9121
76,backend-2,100.00,11667.3,189,18032
76,backend-3,100.00,5740.0,263,14163
81,backend-1,9.90,4907.2,810,9886
81,backend-2,100.00,12914.2,-61,18032
81,backend-3,100.00,9687.4,-12,14163
86,backend-1,9.90,9470.4,848,10081
86,backend-2,100.00,15069.8,0,18032
86,backend-3,100.00,2444.2,465,14718
91,backend-1,100.00,9972.7,161,10081
91,backend-2,100.00,2933.3,211,18510
91,backend-3,100.00,1707.2,222,15005
96,backend-1,100.00,15756.9,-149,10081
96,backend-2,100.00,6580.8,263,18854
96,backend-3,100.00,2752.0,332,15411
101,backend-1,100.00,18393.4,0,10081
101,backend-2,100.00,9025.1,357,19229
101,backend-3,100.00,1086.4,488,15801
106,backend-1,0.00,331.3,239,10366
106,backend-2,100.00,12152.2,10,19274
106,backend-3,100.00,17411.0,667,16221
111,backend-1,0.00,4524.1,839,11116
111,backend-2,1.00,12697.7,0,19274
111,backend-3,100.00,17363.2,247,16221
116,backend-1,0.00,9177.5,832,11281
116,backend-2,1.00,1670.3,492,19874
116,backend-3,99.51,17382.4,-26,16221
122,backend-1,100.00,9686.9,48,11281
122,backend-2,1.00,6648.3,405,20024
122,backend-3,99.51,2311.4,285,16656
