elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,119.5,0,6555
0,backend-2,0.00,75.0,0,13899
0,backend-3,0.00,129.5,0,9522
5,backend-1,94.95,127.3,4,6788
5,backend-2,88.35,103.8,6,14182
5,backend-3,82.83,187.3,2,9756
11,backend-1,92.16,126.2,2,7026
11,backend-2,77.45,77.2,2,14439
11,backend-3,83.98,225.1,-2,10011
16,backend-1,99.01,168.8,3,7272
16,backend-2,71.00,86.9,3,14670
16,backend-3,96.62,120.7,4,10299
21,backend-1,100.00,165.0,2,7526
21,backend-2,72.00,95.6,0,14907
21,backend-3,87.94,126.5,2,10558
26,backend-1,100.00,143.1,7,7774
26,backend-2,75.00,87.4,5,15152
26,backend-3,93.17,169.5,7,10830
31,backend-1,99.01,135.5,0,8008
31,backend-2,73.74,72.8,4,15394
31,backend-3,92.54,127.8,-1,11104
36,backend-1,98.08,193.8,0,8255
36,backend-2,72.45,88.1,6,15628
36,backend-3,92.96,155.7,2,11373
41,backend-1,100.00,153.8,3,8517
41,backend-2,75.76,73.3,6,15878
41,backend-3,79.80,116.0,1,11626
46,backend-1,100.00,203.0,1,8772
46,backend-2,78.79,75.9,0,16118
46,backend-3,87.50,118.5,-1,11881
51,backend-1,100.00,132.8,2,9021
51,backend-2,79.59,81.2,5,16362
51,backend-3,79.21,138.9,5,12153
56,backend-1,89.91,170.3,3,9257
56,backend-2,76.70,87.6,4,16605
56,backend-3,89.05,151.9,2,12424
61,backend-1,100.00,143.6,7,9506
61,backend-2,78.79,103.5,8,16853
61,backend-3,84.24,138.0,7,12692
66,backend-1,83.50,175.4,4,9729
66,backend-2,78.22,74.7,5,17093
66,backend-3,93.87,141.1,-1,12979
71,backend-1,100.00,201.9,-1,9981
71,backend-2,81.63,79.8,5,17318
71,backend-3,93.72,153.6,-1,13252
76,backend-1,100.00,129.3,3,10230
76,backend-2,75.00,87.4,5,17567
76,backend-3,81.09,147.1,3,13519
81,backend-1,93.20,253.3,5,10464
81,backend-2,87.00,161.3,2,17811
81,backend-3,95.61,116.8,4,13791
86,backend-1,100.00,132.2,8,10714
86,backend-2,93.94,168.2,7,18121
86,backend-3,57.36,143.3,8,13996
91,backend-1,88.46,109.0,3,10929
91,backend-2,100.00,137.1,4,18420
91,backend-3,75.51,156.7,4,14232
96,backend-1,70.00,123.9,1,11114
96,backend-2,93.00,87.0,5,18701
96,backend-3,95.31,155.0,1,14516
101,backend-1,83.17,122.0,1,11326
101,backend-2,87.00,75.6,4,18964
101,backend-3,97.03,160.5,1,14806
106,backend-1,85.71,126.5,1,11555
106,backend-2,74.26,74.6,2,19205
106,backend-3,99.00,131.6,1,15101
111,backend-1,91.09,138.9,1,11788
111,backend-2,83.00,81.6,5,19451
111,backend-3,95.52,141.6,-1,15372
116,backend-1,87.76,129.5,4,12033
116,backend-2,75.00,73.9,6,19696
116,backend-3,91.58,123.6,6,15647
