elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,2264.8,0,4045
0,backend-2,0.00,5629.2,0,13671
0,backend-3,0.00,4517.3,0,12260
5,backend-1,0.00,2264.8,0,4045
5,backend-2,0.00,2081.9,604,14421
5,backend-3,0.00,4517.3,0,12260
10,backend-1,0.00,2264.8,0,4045
10,backend-2,0.00,7763.8,792,14901
10,backend-3,0.00,1201.9,226,12530
15,backend-1,0.00,1132.9,229,4330
15,backend-2,100.00,10014.0,67,14901
15,backend-3,0.00,3466.7,599,13010
20,backend-1,0.00,4817.1,539,4795
20,backend-2,100.00,13042.7,-319,14901
20,backend-3,100.00,3891.7,456,13295
25,backend-1,100.00,10189.9,-3,4795
25,backend-2,100.00,5558.6,664,15621
25,backend-3,100.00,9664.1,-43,13325
30,backend-1,100.00,10815.3,0,4795
30,backend-2,100.00,16009.0,964,16086
30,backend-3,100.00,733.3,252,13625
35,backend-1,0.00,3869.1,597,5530
35,backend-2,100.00,9852.9,617,16086
35,backend-3,100.00,3946.3,-105,13640
40,backend-1,0.00,6635.3,425,5545
40,backend-2,100.00,14762.1,248,16086
40,backend-3,0.00,2422.3,631,14390
46,backend-1,0.00,13006.9,716,6055
46,backend-2,0.00,14839.9,15,16101
46,backend-3,100.00,6612.6,217,14615
51,backend-1,0.00,10951.7,408,6055
51,backend-2,0.00,2213.9,639,16866
51,backend-3,99.00,9975.3,102,14615
56,backend-1,100.00,10429.2,-83,6055
56,backend-2,100.00,7027.1,189,16911
56,backend-3,99.00,6409.8,643,15320
61,backend-1,0.00,11126.9,15,6070
61,backend-2,100.00,6344.4,422,17376
61,backend-3,100.00,6474.4,286,15590
66,backend-1,0.00,1363.4,635,6835
66,backend-2,100.00,7319.4,189,17376
66,backend-3,99.50,10696.1,286,15590
71,backend-1,100.00,8266.0,-19,6850
71,backend-2,0.00,6282.6,40,17421
71,backend-3,99.50,5306.7,779,16280
76,backend-1,100.00,11832.9,-323,6850
76,backend-2,100.00,1885.8,366,18171
76,backend-3,100.00,8745.1,342,16280
81,backend-1,0.00,11507.6,0,6850
81,backend-2,100.00,3598.7,379,18891
81,backend-3,0.00,6102.2,41,16325
86,backend-1,0.00,11507.6,0,6850
86,backend-2,100.00,11804.1,-92,18891
86,backend-3,0.00,2891.1,665,17075
91,backend-1,0.00,1974.7,288,7210
91,backend-2,100.00,13985.2,-313,18891
91,backend-3,0.00,7335.9,804,17465
96,backend-1,0.00,5869.0,457,7540
96,backend-2,100.00,17767.7,-3,18891
96,backend-3,99.52,6914.4,494,17900
101,backend-1,0.00,10672.1,232,7540
101,backend-2,0.00,324.5,61,18966
101,backend-3,99.52,8388.2,924,18575
106,backend-1,0.00,246.2,65,7615
106,backend-2,0.00,4417.0,584,19656
106,backend-3,99.52,19015.5,634,18575
111,backend-1,0.00,2751.3,667,8365
111,backend-2,100.00,6257.1,125,19656
111,backend-3,100.00,14627.9,356,18575
116,backend-1,0.00,8523.8,879,8725
116,backend-2,100.00,1733.4,218,20061
116,backend-3,100.00,18862.6,140,18575
121,backend-1,100.00,12950.3,119,8725
121,backend-2,100.00,3551.9,339,20661
121,backend-3,0.50,18974.6,0,18575
