elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,4787.6,0,2761
0,backend-2,0.00,10606.2,0,32963
0,backend-3,0.00,21275.8,0,11937
5,backend-1,0.00,4787.6,0,2761
5,backend-2,0.00,3710.7,836,33963
5,backend-3,0.00,21275.8,0,11937
10,backend-1,0.00,4787.6,0,2761
10,backend-2,100.00,1919.5,353,34963
10,backend-3,0.00,21275.8,0,11937
15,backend-1,0.00,4787.6,0,2761
15,backend-2,100.00,8234.6,1127,35983
15,backend-3,0.00,21275.8,0,11937
20,backend-1,0.00,4787.6,0,2761
20,backend-2,100.00,7981.6,1829,36983
20,backend-3,0.00,21275.8,0,11937
25,backend-1,2.00,4787.6,0,2761
25,backend-2,100.00,12823.4,2586,38003
25,backend-3,0.00,21275.8,0,11937
30,backend-1,0.00,4787.6,0,2761
30,backend-2,100.00,12343.3,2850,38483
30,backend-3,0.00,1603.3,488,12457
35,backend-1,4.04,4787.6,0,2761
35,backend-2,100.00,24221.8,2336,38483
35,backend-3,100.00,3774.5,438,13477
41,backend-1,100.00,1077.4,251,3241
41,backend-2,100.00,30347.3,2053,38483
41,backend-3,100.00,8115.5,821,13997
46,backend-1,100.00,5339.9,128,3241
46,backend-2,100.00,34221.4,1601,38483
46,backend-3,100.00,8206.5,1580,14997
51,backend-1,100.00,1097.9,489,3801
51,backend-2,100.00,39944.3,1336,38483
51,backend-3,100.00,17583.3,1645,15457
56,backend-1,100.00,6247.8,766,4241
56,backend-2,100.00,43886.2,1134,38483
56,backend-3,100.00,21765.7,1173,15457
61,backend-1,100.00,8448.0,1329,4941
61,backend-2,100.00,46514.7,862,38483
61,backend-3,100.00,24693.9,815,15457
66,backend-1,100.00,14863.5,1437,5361
66,backend-2,100.00,49448.3,428,38483
66,backend-3,100.00,27544.6,533,15457
71,backend-1,100.00,15786.9,1285,5361
71,backend-2,100.00,50553.7,124,38483
71,backend-3,100.00,31507.6,235,15457
76,backend-1,100.00,24890.1,941,5361
76,backend-2,100.00,53885.0,-73,38483
76,backend-3,100.00,31307.0,-32,15457
81,backend-1,100.00,21136.5,573,5361
81,backend-2,100.00,59169.9,-443,38483
81,backend-3,100.00,36849.9,-366,15457
86,backend-1,100.00,25746.3,350,5361
86,backend-2,100.00,59998.5,-916,38483
86,backend-3,99.52,41083.3,201,15617
91,backend-1,100.00,29350.4,0,5361
91,backend-2,100.00,6366.1,194,38603
91,backend-3,99.52,12469.0,1002,16497
96,backend-1,0.00,29350.4,0,5361
96,backend-2,100.00,2674.1,1112,39623
96,backend-3,99.52,8947.2,712,16497
101,backend-1,0.00,1968.1,368,5821
101,backend-2,100.00,8665.0,1161,39963
101,backend-3,100.00,6996.1,563,16697
106,backend-1,0.00,7265.0,178,5821
106,backend-2,100.00,12500.9,859,39963
106,backend-3,100.00,6420.6,958,17697
111,backend-1,2.00,7093.3,0,5821
111,backend-2,100.00,14662.8,616,39963
111,backend-3,100.00,15712.2,1715,18717
116,backend-1,2.00,2821.2,590,6501
116,backend-2,100.00,20419.6,88,39963
116,backend-3,100.00,19235.5,1558,19037
121,backend-1,2.00,6400.2,631,6701
121,backend-2,100.00,3664.6,269,40543
121,backend-3,100.00,13283.7,1140,19037
