elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,92.6,0,5996
0,backend-2,0.00,48.0,0,5995
0,backend-3,0.00,72.4,0,5995
5,backend-1,64.00,105.4,-1,6162
5,backend-2,52.00,54.6,0,6162
5,backend-3,51.27,89.5,3,6162
10,backend-1,66.00,106.8,0,6332
10,backend-2,52.00,62.9,0,6332
10,backend-3,57.79,84.1,4,6332
15,backend-1,68.00,103.7,0,6502
15,backend-2,48.00,64.0,3,6502
15,backend-3,54.55,89.4,4,6502
20,backend-1,62.63,103.6,-1,6669
20,backend-2,54.46,55.5,2,6669
20,backend-3,52.26,89.3,3,6668
25,backend-1,68.69,101.5,2,6839
25,backend-2,50.00,54.1,4,6839
25,backend-3,57.36,83.4,3,6838
30,backend-1,66.67,102.5,1,7006
30,backend-2,45.92,56.8,3,7005
30,backend-3,55.56,88.7,3,7005
35,backend-1,65.35,102.7,0,7172
35,backend-2,50.51,55.9,0,7172
35,backend-3,52.02,89.2,3,7172
40,backend-1,66.00,101.9,2,7342
40,backend-2,49.00,53.7,3,7342
40,backend-3,56.35,85.8,4,7342
45,backend-1,70.59,104.1,0,7509
45,backend-2,45.54,61.8,3,7509
45,backend-3,54.31,88.2,3,7508
50,backend-1,66.67,107.3,5,7679
50,backend-2,55.56,60.5,4,7679
50,backend-3,52.26,90.6,3,7678
55,backend-1,60.61,106.2,2,7846
55,backend-2,50.50,60.6,2,7845
55,backend-3,55.28,85.6,3,7845
60,backend-1,68.69,105.3,-1,8012
60,backend-2,52.00,57.3,1,8012
60,backend-3,58.62,83.2,4,8012
65,backend-1,68.00,106.1,-1,8182
65,backend-2,47.47,49.9,2,8182
65,backend-3,54.95,86.3,4,8182
70,backend-1,64.65,109.3,3,8352
70,backend-2,53.00,58.3,3,8352
70,backend-3,51.74,84.9,4,8352
75,backend-1,64.65,107.4,0,8519
75,backend-2,48.48,56.1,0,8519
75,backend-3,56.57,82.1,0,8518
81,backend-1,68.00,107.7,2,8689
81,backend-2,45.45,59.5,5,8689
81,backend-3,55.78,89.3,3,8688
86,backend-1,62.63,106.3,1,8856
86,backend-2,49.49,61.2,0,8855
86,backend-3,52.76,86.4,3,8855
91,backend-1,72.55,106.9,1,9026
91,backend-2,57.00,58.0,3,9025
91,backend-3,57.71,81.6,3,9025
96,backend-1,68.00,104.9,-1,9192
96,backend-2,50.51,57.4,1,9192
96,backend-3,55.28,86.4,4,9192
101,backend-1,65.31,108.2,2,9359
101,backend-2,47.00,59.3,0,9359
101,backend-3,53.77,83.6,0,9358
106,backend-1,60.61,105.0,1,9529
106,backend-2,49.49,56.0,4,9529
106,backend-3,53.27,85.5,3,9528
111,backend-1,66.00,103.3,3,9696
111,backend-2,51.52,56.4,0,9695
111,backend-3,57.29,84.9,3,9695
116,backend-1,66.67,105.0,2,9866
116,backend-2,46.00,52.3,3,9865
116,backend-3,56.06,84.2,4,9865
